Dundee  N00.00.00.000 W000.00.00.000 N00.00.00.000 W000.00.00.000
;
;Dundee
N056.27.14.971 W003.00.53.842 N056.27.14.923 W003.00.53.842 Olive
N056.27.14.923 W003.00.53.842 N056.27.14.923 W003.00.54.728 Olive
N056.27.14.923 W003.00.54.728 N056.27.15.344 W003.00.54.726 Olive
N056.27.15.344 W003.00.54.726 N056.27.15.344 W003.00.57.427 Olive
N056.27.15.344 W003.00.57.427 N056.27.15.150 W003.00.57.419 Olive
N056.27.15.150 W003.00.57.419 N056.27.15.150 W003.00.56.550 Olive
N056.27.15.150 W003.00.56.550 N056.27.15.085 W003.00.56.550 Olive
N056.27.15.085 W003.00.56.550 N056.27.15.085 W003.00.57.429 Olive
N056.27.15.085 W003.00.57.429 N056.27.15.018 W003.00.57.429 Olive
N056.27.15.018 W003.00.57.429 N056.27.15.018 W003.00.57.629 Olive
N056.27.15.018 W003.00.57.629 N056.27.15.344 W003.00.57.611 Olive
N056.27.15.344 W003.00.57.611 N056.27.15.344 W003.00.59.207 Olive
N056.27.15.344 W003.00.59.207 N056.27.14.923 W003.00.59.207 Olive
N056.27.14.987 W003.00.51.371 N056.27.14.149 W003.00.51.386 Olive
N056.27.14.149 W003.00.51.386 N056.27.14.149 W003.00.50.818 Olive
N056.27.14.149 W003.00.50.818 N056.27.14.987 W003.00.50.818 Olive
N056.27.14.987 W003.00.50.818 N056.27.14.987 W003.00.51.389 Olive
N056.27.15.182 W003.00.49.586 N056.27.14.923 W003.00.49.590 Olive
N056.27.14.923 W003.00.49.590 N056.27.14.923 W003.00.49.415 Olive
N056.27.14.923 W003.00.49.415 N056.27.14.858 W003.00.49.415 Olive
N056.27.14.858 W003.00.49.415 N056.27.14.858 W003.00.49.577 Olive
N056.27.14.858 W003.00.49.577 N056.27.14.599 W003.00.49.577 Olive
N056.27.14.599 W003.00.49.577 N056.27.14.599 W003.00.49.417 Olive
N056.27.14.599 W003.00.49.417 N056.27.14.470 W003.00.49.417 Olive
N056.27.14.470 W003.00.49.417 N056.27.14.470 W003.00.48.346 Olive
N056.27.14.470 W003.00.48.346 N056.27.14.437 W003.00.48.346 Olive
N056.27.14.437 W003.00.48.346 N056.27.14.437 W003.00.48.422 Olive
N056.27.14.437 W003.00.48.422 N056.27.14.183 W003.00.48.422 Olive
N056.27.14.183 W003.00.48.422 N056.27.14.183 W003.00.47.901 Olive
N056.27.14.183 W003.00.47.901 N056.27.14.437 W003.00.47.901 Olive
N056.27.14.437 W003.00.47.901 N056.27.14.437 W003.00.47.998 Olive
N056.27.14.437 W003.00.47.998 N056.27.15.182 W003.00.47.998 Olive
N056.27.15.182 W003.00.47.998 N056.27.15.182 W003.00.49.566 Olive
N056.27.15.036 W003.00.47.571 N056.27.13.777 W003.00.47.571 Olive
N056.27.13.777 W003.00.47.571 N056.27.13.777 W003.00.46.808 Olive
N056.27.13.777 W003.00.46.808 N056.27.15.036 W003.00.46.808 Olive
N056.27.15.036 W003.00.46.808 N056.27.15.036 W003.00.47.573 Olive
;- RUNWAY 10/28
N056.27.08.898 W003.00.52.458 N056.27.07.982 W003.00.52.490 Olive
N056.27.07.982 W003.00.52.490 N056.27.08.377 W003.02.13.509 Olive
N056.27.08.377 W003.02.13.509 N056.27.09.293 W003.02.13.476 Olive
N056.27.09.293 W003.02.13.476 N056.27.08.898 W003.00.52.455 Olive
