;- HEATHROW HOLDING POINTS
N051.28.09.550:W000.28.09.530:EGLL Stands:590R
N051.28.06.480:W000.28.45.460:EGLL Stands:541
N051.28.08.880:W000.28.45.480:EGLL Stands:542
N051.28.11.270:W000.28.45.500:EGLL Stands:543
N051.28.13.910:W000.28.45.950:EGLL Stands:544
N051.28.13.240:W000.28.45.940:EGLL Stands:544L
N051.28.14.600:W000.28.45.950:EGLL Stands:544R
N051.28.16.790:W000.28.45.970:EGLL Stands:545
N051.28.16.120:W000.28.45.970:EGLL Stands:545L
N051.28.17.460:W000.28.45.980:EGLL Stands:545R
N051.28.19.670:W000.28.46.100:EGLL Stands:546
N051.28.23.100:W000.28.46.130:EGLL Stands:547
N051.28.06.600:W000.28.40.540:EGLL Stands:551
N051.28.09.000:W000.28.40.560:EGLL Stands:552
N051.28.11.390:W000.28.40.580:EGLL Stands:553
N051.28.11.050:W000.28.27.380:EGLL Stands:566
N051.28.08.940:W000.28.27.360:EGLL Stands:567
N051.28.06.550:W000.28.27.330:EGLL Stands:568
N051.28.09.770:W000.28.21.920:EGLL Stands:576
N051.28.04.400:W000.28.19.070:EGLL Stands:581
N051.28.04.410:W000.28.15.580:EGLL Stands:582
N051.28.04.430:W000.28.11.670:EGLL Stands:583
N051.28.09.060:W000.28.09.520:EGLL Stands:590
N051.28.11.480:W000.28.09.530:EGLL Stands:591
N051.28.13.910:W000.28.09.560:EGLL Stands:592
N051.28.18.940:W000.28.09.070:EGLL Stands:594
N051.28.21.310:W000.28.09.100:EGLL Stands:595
N051.28.26.300:W000.28.09.870:EGLL Stands:596
N051.28.28.390:W000.28.10.650:EGLL Stands:597
N051.28.28.250:W000.28.10.590:EGLL Stands:597L
N051.28.29.470:W000.28.11.050:EGLL Stands:597R
N051.28.30.660:W000.28.11.680:EGLL Stands:598
N051.28.08.230:W000.28.09.510:EGLL Stands:590L
N051.28.09.560:W000.28.09.530:EGLL Stands:590R
N051.28.23.800:W000.25.50.040:EGLL Stands:701
N051.28.26.480:W000.25.51.940:EGLL Stands:702
N051.28.28.200:W000.25.49.310:EGLL Stands:703
N051.28.06.340:W000.28.04.560:EGLL Stands:L35W
N051.28.06.360:W000.27.56.960:EGLL Stands:L35E
N051.28.29.660:W000.28.46.470:EGLL Stands:160
N051.28.29.560:W000.28.38.890:EGLL Stands:161
N051.28.29.720:W000.28.29.240:EGLL Stands:162
N051.28.29.560:W000.28.57.970:EGLL Stands:163
N051.28.29.560:W000.28.57.970:EGLL Stands:164
N051.28.24.000:W000.26.12.000:EGLL Stands:CB
