;background
REGIONNAME East Midlands
smrGrass N052.48.20.236 W001.22.24.867
N052.49.37.297 W001.20.47.306
N052.49.36.640 W001.21.17.791
;building2
REGIONNAME East Midlands
smrBuilding N052.49.37.127 W001.21.21.979
N052.49.38.942 W001.21.22.115
N052.49.38.825 W001.21.24.548
N052.49.37.074 W001.21.24.406
;building3
REGIONNAME East Midlands
smrBuilding N052.49.39.594 W001.20.33.718
N052.49.39.510 W001.20.29.276
N052.49.40.754 W001.20.29.283
N052.49.40.811 W001.20.33.636
;building3
REGIONNAME East Midlands
smrBuilding N052.49.37.599 W001.20.28.504
N052.49.36.256 W001.20.27.072
N052.49.40.278 W001.20.16.639
N052.49.41.904 W001.20.18.196
N052.49.37.950 W001.20.28.510
;building4
REGIONNAME East Midlands
smrBuilding N052.49.42.746 W001.20.24.061
N052.49.42.252 W001.20.25.508
N052.49.40.256 W001.20.23.170
N052.49.41.178 W001.20.21.074
N052.49.42.787 W001.20.22.768
N052.49.42.412 W001.20.23.799
;building5
REGIONNAME East Midlands
smrBuilding N052.49.34.132 W001.20.17.877
N052.49.35.343 W001.20.14.199
N052.49.36.379 W001.20.15.335
N052.49.36.673 W001.20.14.204
N052.49.37.594 W001.20.14.337
N052.49.38.026 W001.20.14.987
N052.49.36.261 W001.20.20.031
;building6
REGIONNAME East Midlands
smrBuilding N052.49.32.217 W001.20.15.438
N052.49.31.085 W001.20.18.462
N052.49.28.699 W001.20.15.683
N052.49.29.706 W001.20.12.991
;building7
REGIONNAME East Midlands
smrBuilding N052.49.37.661 W001.20.03.285
N052.49.37.641 W001.20.02.994
N052.49.36.431 W001.20.02.778
N052.49.35.847 W001.20.01.229
N052.49.35.828 W001.20.00.107
N052.49.34.253 W001.19.59.808
N052.49.34.252 W001.19.58.266
N052.49.35.750 W001.19.58.468
N052.49.35.750 W001.19.57.373
N052.49.35.439 W001.19.57.371
N052.49.35.458 W001.19.55.341
N052.49.31.942 W001.19.55.106
N052.49.31.900 W001.19.50.086
N052.49.34.387 W001.19.49.792
N052.49.34.796 W001.19.49.598
N052.49.35.166 W001.19.47.821
N052.49.35.205 W001.19.44.075
N052.49.34.796 W001.19.43.852
N052.49.34.757 W001.19.41.849
N052.49.35.400 W001.19.42.072
N052.49.35.400 W001.19.40.523
N052.49.35.673 W001.19.40.489
N052.49.35.712 W001.19.37.286
N052.49.36.571 W001.19.37.056
N052.49.36.552 W001.19.38.255
N052.49.36.776 W001.19.38.593
N052.49.39.470 W001.19.38.808
N052.49.39.940 W001.19.38.774
N052.49.40.175 W001.19.38.288
N052.49.40.292 W001.19.37.382
N052.49.40.352 W001.19.33.268
N052.49.40.764 W001.19.32.907
N052.49.40.805 W001.19.33.551
N052.49.40.549 W001.19.33.847
N052.49.40.528 W001.19.37.445
N052.49.40.430 W001.19.38.254
N052.49.40.273 W001.19.38.773
N052.49.39.940 W001.19.39.065
N052.49.36.970 W001.19.39.043
N052.49.36.717 W001.19.46.401
N052.49.37.067 W001.19.46.531
N052.49.37.087 W001.19.47.564
N052.49.36.619 W001.19.47.562
N052.49.36.484 W001.19.55.999
N052.49.36.503 W001.19.57.607
N052.49.36.231 W001.19.57.605
N052.49.36.155 W001.20.00.846
N052.49.36.601 W001.20.02.357
N052.49.37.612 W001.20.02.538
N052.49.37.632 W001.20.02.250
N052.49.40.872 W001.20.02.378
N052.49.40.850 W001.20.03.403
;building8
REGIONNAME East Midlands
smrBuilding N052.49.36.726 W001.19.37.049
N052.49.36.696 W001.19.32.693
N052.49.39.189 W001.19.32.728
N052.49.39.166 W001.19.37.122
;building9
REGIONNAME East Midlands
smrBuilding N052.49.37.964 W001.19.29.646
N052.49.38.052 W001.19.25.227
N052.49.39.457 W001.19.25.264
N052.49.39.345 W001.19.29.609
;building10
REGIONNAME East Midlands
smrBuilding N052.49.37.471 W001.19.23.051
N052.49.37.625 W001.19.16.319
N052.49.39.123 W001.19.16.357
N052.49.39.011 W001.19.23.198
;building11
REGIONNAME East Midlands
smrBuilding N052.49.37.803 W001.19.09.072
N052.49.37.870 W001.19.03.774
N052.49.39.302 W001.19.03.848
N052.49.39.235 W001.19.09.183
;building12
REGIONNAME East Midlands
smrBuilding N052.49.37.489 W001.19.13.219
N052.49.39.481 W001.19.13.329
N052.49.39.437 W001.19.14.627
N052.49.37.489 W001.19.14.479
