;Outer Border
REGIONNAME Manchester
N053.19.55.416 W002.18.36.384

;3
REGIONNAME Manchester
smrCompassbase N053.19.55.550 W002.18.36.562
N053.19.54.977 W002.18.37.767
N053.19.54.927 W002.18.37.705
N053.19.55.505 W002.18.36.502

;4
REGIONNAME Manchester
smrCompassbase N053.19.55.646 W002.18.36.685
N053.19.55.069 W002.18.37.895
N053.19.55.019 W002.18.37.827
N053.19.55.599 W002.18.36.628

;5
REGIONNAME Manchester
smrCompassbase N053.19.55.732 W002.18.36.806
N053.19.55.156 W002.18.38.010
N053.19.55.109 W002.18.37.956
N053.19.55.689 W002.18.36.748

;6
REGIONNAME Manchester
smrCompassbase N053.19.55.867 W002.18.36.991
N053.19.55.290 W002.18.38.193
N053.19.55.245 W002.18.38.133
N053.19.55.826 W002.18.36.931

;7
REGIONNAME Manchester
smrCompassbase N053.19.55.961 W002.18.37.114
N053.19.55.383 W002.18.38.316
N053.19.55.337 W002.18.38.254
N053.19.55.918 W002.18.37.058

;8
REGIONNAME Manchester
smrCompassbase N053.19.55.424 W002.18.38.382
N053.19.56.004 W002.18.37.171
N053.19.56.054 W002.18.37.235
N053.19.55.472 W002.18.38.445

;9
REGIONNAME Manchester
smrCompassbase N053.19.55.518 W002.18.38.494
N053.19.56.089 W002.18.37.303
N053.19.56.142 W002.18.37.358
N053.19.55.564 W002.18.38.558

;10
REGIONNAME Manchester
smrCompassbase N053.19.55.607 W002.18.38.622
N053.19.56.181 W002.18.37.432
N053.19.56.228 W002.18.37.482
N053.19.55.654 W002.18.38.687

;11
REGIONNAME Manchester
smrCompassbase N053.19.55.699 W002.18.38.742
N053.19.56.268 W002.18.37.558
N053.19.56.326 W002.18.37.622
N053.19.55.750 W002.18.38.816

; 1
REGIONNAME Manchester
smrCompassbase N053.20.14.111 W002.18.00.022
N053.20.14.037 W002.17.59.929
N053.20.13.588 W002.18.00.866
N053.20.13.665 W002.18.00.965

; 2
REGIONNAME Manchester
smrCompassbase N053.20.13.139 W002.18.00.259
N053.20.13.056 W002.18.00.148
N053.20.13.512 W002.17.59.206
N053.20.13.584 W002.17.59.327

; 3
REGIONNAME Manchester
smrCompassbase N053.20.10.606 W002.18.07.258
N053.20.10.538 W002.18.07.166
N053.20.10.998 W002.18.06.208
N053.20.11.068 W002.18.06.318

; 4
REGIONNAME Manchester
smrCompassbase N053.20.10.087 W002.18.06.556
N053.20.10.007 W002.18.06.439
N053.20.10.465 W002.18.05.506
N053.20.10.526 W002.18.05.597

; 5
REGIONNAME Manchester
smrCompassbase N053.20.07.561 W002.18.13.551
N053.20.08.022 W002.18.12.624
N053.20.07.952 W002.18.12.532
N053.20.07.491 W002.18.13.459

; 6
REGIONNAME Manchester
smrCompassbase N053.20.07.035 W002.18.12.853
N053.20.06.968 W002.18.12.756
N053.20.07.413 W002.18.11.804
N053.20.07.487 W002.18.11.903

; 7
REGIONNAME Manchester
smrCompassbase N053.20.04.332 W002.18.19.984
N053.20.04.471 W002.18.20.174
N053.20.04.165 W002.18.20.802
N053.20.04.310 W002.18.20.983
N053.20.03.997 W002.18.21.627
N053.20.03.859 W002.18.21.431
N053.20.03.555 W002.18.22.071
N053.20.03.413 W002.18.21.886
N053.20.03.727 W002.18.21.242
N053.20.03.859 W002.18.21.431
N053.20.04.165 W002.18.20.802
N053.20.04.023 W002.18.20.617

; 8
REGIONNAME Manchester
smrCompassbase N053.20.02.822 W002.18.21.082
N053.20.02.961 W002.18.21.265
N053.20.03.268 W002.18.20.634
N053.20.03.132 W002.18.20.447
N053.20.03.436 W002.18.19.818
N053.20.03.572 W002.18.20.005
N053.20.03.878 W002.18.19.365
N053.20.03.741 W002.18.19.183
N053.20.03.436 W002.18.19.818
N053.20.03.294 W002.18.19.626
N053.20.02.993 W002.18.20.265
N053.20.03.129 W002.18.20.451

; 9
REGIONNAME Manchester
smrCompassbase N053.20.01.458 W002.18.26.186
N053.20.01.381 W002.18.26.088
N053.20.01.839 W002.18.25.137
N053.20.01.913 W002.18.25.245

; 10
REGIONNAME Manchester
smrCompassbase N053.20.00.930 W002.18.25.459
N053.20.00.857 W002.18.25.352
N053.20.01.315 W002.18.24.413
N053.20.01.389 W002.18.24.521

; 11
REGIONNAME Manchester
smrCompassbase N053.19.58.409 W002.18.32.486
N053.19.58.332 W002.18.32.389
N053.19.58.788 W002.18.31.434
N053.19.58.865 W002.18.31.536

; 12
REGIONNAME Manchester
smrCompassbase N053.19.57.872 W002.18.31.778
N053.19.57.808 W002.18.31.673
N053.19.58.257 W002.18.30.723
N053.19.58.333 W002.18.30.831
N053.19.57.872 W002.18.31.778

;Northern Stands Construction (AIRAC 1809)
REGIONNAME Manchester
smrCCdisused N053.22.02.471 W002.17.20.828
N053.22.04.565 W002.17.17.239
N053.22.04.828 W002.17.17.303
N053.22.04.999 W002.17.17.265
N053.22.05.287 W002.17.17.193
N053.22.05.506 W002.17.17.122
N053.22.05.543 W002.17.17.106
N053.22.05.670 W002.17.17.287
N053.22.11.159 W002.17.08.070
N053.22.09.518 W002.17.05.311
N053.22.03.027 W002.17.17.230
N053.22.03.029 W002.17.17.583
N053.22.03.429 W002.17.18.242
N053.22.02.148 W002.17.20.283
N053.22.02.471 W002.17.20.828
