;Grass BACKGROUND
N058.27.13.816 W003.05.14.121
N058.27.14.332 W003.05.13.283
N058.27.14.423 W003.05.13.153
N058.27.14.491 W003.05.13.118
N058.27.14.615 W003.05.13.179
N058.27.14.765 W003.05.13.527
N058.27.14.993 W003.05.14.051
N058.27.15.235 W003.05.14.530
N058.27.15.395 W003.05.14.722
N058.27.15.541 W003.05.14.853
N058.27.15.782 W003.05.15.079
N058.27.16.096 W003.05.15.403
N058.27.16.214 W003.05.15.508
N058.27.15.968 W003.05.16.440
N058.27.15.805 W003.05.16.274
N058.27.15.714 W003.05.16.199
N058.27.15.568 W003.05.16.124
N058.27.15.439 W003.05.16.040
N058.27.15.331 W003.05.15.998
N058.27.15.227 W003.05.16.030
N058.27.15.141 W003.05.16.138
N058.27.15.538 W003.05.17.047
N058.27.13.166 W003.05.20.754
N058.27.12.781 W003.05.19.859
N058.27.12.723 W003.05.19.919
N058.27.12.630 W003.05.20.058
N058.27.12.552 W003.05.20.237
N058.27.12.552 W003.05.20.505
N058.27.12.708 W003.05.20.883
N058.27.12.854 W003.05.21.102
N058.27.13.046 W003.05.21.360
N058.27.13.207 W003.05.21.519
N058.27.13.379 W003.05.21.598
N058.27.13.467 W003.05.21.559
N058.27.13.571 W003.05.21.519
N058.27.13.826 W003.05.22.235
N058.27.13.753 W003.05.22.344
N058.27.13.550 W003.05.22.632
N058.27.13.363 W003.05.22.891
