;Background
REGIONNAME City of Derry
smrGreen N055.02.50.496 W007.09.45.462
N055.02.30.943 W007.10.12.671
N055.02.31.448 W007.10.11.123
N055.02.32.794 W007.10.06.960
N055.02.35.043 W007.10.00.224
N055.02.35.116 W007.09.59.875
N055.02.35.153 W007.09.59.590
N055.02.35.120 W007.09.59.455
N055.02.35.088 W007.09.59.306
N055.02.34.994 W007.09.59.192
N055.02.34.896 W007.09.59.113
N055.02.34.823 W007.09.59.092
N055.02.33.819 W007.09.59.227
N055.02.32.421 W007.09.59.345
N055.02.32.172 W007.09.59.395
N055.02.32.087 W007.09.59.424
N055.02.32.017 W007.09.59.523
N055.02.31.964 W007.09.59.609
N055.02.31.923 W007.09.59.822
N055.02.31.834 W007.10.00.285
N055.02.31.805 W007.10.00.420
N055.02.31.768 W007.10.00.513
N055.02.31.691 W007.10.00.541
N055.02.31.556 W007.10.00.598
N055.02.31.010 W007.10.00.918
N055.02.31.585 W007.09.57.943
N055.02.31.838 W007.09.58.157
N055.02.32.323 W007.09.58.513
N055.02.32.454 W007.09.58.584
N055.02.33.118 W007.09.58.527
N055.02.34.408 W007.09.58.383
N055.02.34.753 W007.09.58.205
N055.02.35.253 W007.09.57.885
N055.02.36.830 W007.09.56.843
N055.02.36.677 W007.09.57.731

; Taxiways
REGIONNAME City of Derry
smrTaxiwayDarker N055.02.14.940 W007.10.06.635
N055.02.14.823 W007.10.06.360
N055.02.14.732 W007.10.06.382
N055.02.14.495 W007.10.06.628
N055.02.14.263 W007.10.05.817
N055.02.14.475 W007.10.05.744
N055.02.14.566 W007.10.05.585
N055.02.14.616 W007.10.05.368
N055.02.14.591 W007.10.05.071
N055.02.14.541 W007.10.04.926
N055.02.14.433 W007.10.04.694
N055.02.14.326 W007.10.04.361
N055.02.14.292 W007.10.04.136
N055.02.14.288 W007.10.03.955
N055.02.14.309 W007.10.03.774
N055.02.14.338 W007.10.03.586
N055.02.14.363 W007.10.03.405
N055.02.14.400 W007.10.03.224
N055.02.14.463 W007.10.03.050
