;DGX Perimeter
REGIONNAME St Athan
N051.24.23.012 W003.26.28.133
N051.24.23.094 W003.26.28.314
N051.24.23.240 W003.26.29.272
N051.24.21.735 W003.26.29.836

;C Grass 2
REGIONNAME St Athan
smrTEGrassBdy N051.24.23.183 W003.26.28.260
N051.24.23.219 W003.26.28.051
N051.24.23.294 W003.26.27.913
N051.24.23.394 W003.26.27.822
N051.24.24.255 W003.26.27.491
N051.24.24.379 W003.26.27.475
N051.24.24.492 W003.26.27.580
N051.24.24.702 W003.26.27.955
N051.24.24.523 W003.26.28.704
N051.24.23.329 W003.26.29.212

;Maint E
REGIONNAME St Athan
smrmiltaxiway N051.24.41.423 W003.26.21.980
N051.24.31.372 W003.26.16.948
N051.24.31.815 W003.26.14.738
N051.24.35.951 W003.26.16.731
N051.24.36.357 W003.26.14.795
N051.24.36.572 W003.26.14.895
N051.24.36.776 W003.26.13.840
N051.24.36.949 W003.26.13.925
N051.24.36.743 W003.26.14.975
N051.24.36.969 W003.26.15.078
N051.24.36.583 W003.26.17.035
N051.24.36.805 W003.26.17.141
N051.24.36.957 W003.26.16.344
N051.24.36.845 W003.26.16.292
N051.24.36.881 W003.26.16.096
N051.24.36.993 W003.26.16.146
N051.24.37.182 W003.26.15.212
N051.24.37.416 W003.26.15.320
N051.24.37.632 W003.26.14.246
N051.24.37.773 W003.26.14.311
N051.24.37.569 W003.26.15.395
N051.24.37.787 W003.26.15.500
N051.24.37.414 W003.26.17.460
N051.24.43.170 W003.26.20.326

;SAR Apron
REGIONNAME St Athan
smrGDapron N051.24.04.398 W003.26.22.603
N051.24.02.068 W003.26.21.804
N051.24.02.302 W003.26.19.977
N051.24.01.880 W003.26.19.799
N051.24.02.094 W003.26.18.169
N051.24.05.380 W003.26.19.216
N051.24.04.951 W003.26.22.567
N051.24.04.428 W003.26.22.389

;Apron C
REGIONNAME St Athan
smrGDapron N051.24.24.881 W003.26.23.352
N051.24.24.850 W003.26.23.460
N051.24.24.826 W003.26.23.579
N051.24.24.812 W003.26.23.707
N051.24.24.811 W003.26.23.878
N051.24.24.969 W003.26.25.109
N051.24.22.090 W003.26.25.737
N051.24.21.928 W003.26.24.483
N051.24.21.803 W003.26.24.048
N051.24.21.512 W003.26.23.853
N051.24.22.374 W003.26.23.754
N051.24.25.093 W003.26.23.118

;Maint Apron E
REGIONNAME St Athan
smrGDapron N051.24.42.549 W003.26.23.658
N051.24.42.612 W003.26.23.900
N051.24.42.725 W003.26.24.091
N051.24.42.874 W003.26.24.248
N051.24.42.963 W003.26.24.444
N051.24.43.014 W003.26.24.697
N051.24.43.008 W003.26.24.911
N051.24.42.306 W003.26.28.541
N051.24.42.238 W003.26.28.815
N051.24.42.103 W003.26.29.015
N051.24.41.953 W003.26.29.111
N051.24.41.810 W003.26.29.116
N051.24.37.691 W003.26.27.105
N051.24.37.374 W003.26.26.954
N051.24.37.203 W003.26.26.813
N051.24.37.088 W003.26.26.594
N051.24.36.996 W003.26.26.205
N051.24.37.754 W003.26.22.316
N051.24.37.810 W003.26.22.140
N051.24.37.896 W003.26.21.988
N051.24.38.014 W003.26.21.882
N051.24.38.442 W003.26.21.825
N051.24.38.522 W003.26.21.735
N051.24.38.586 W003.26.21.583
N051.24.38.762 W003.26.20.647
N051.24.41.422 W003.26.21.973
N051.24.43.170 W003.26.20.325
N051.24.42.605 W003.26.23.271

;Engine Running Platform
REGIONNAME St Athan
smrGDapron N051.24.33.142 W003.26.11.739
N051.24.33.355 W003.26.12.000
N051.24.33.618 W003.26.12.323
N051.24.33.894 W003.26.12.659
N051.24.34.074 W003.26.12.861
N051.24.34.576 W003.26.12.699
N051.24.35.495 W003.26.13.811
N051.24.34.437 W003.26.16.039
N051.24.31.731 W003.26.14.715

;Apron E
REGIONNAME St Athan
smrGDapron N051.24.31.170 W003.26.12.933
N051.24.31.234 W003.26.13.006
N051.24.31.576 W003.26.12.275
N051.24.31.838 W003.26.12.584
N051.24.31.483 W003.26.13.318
N051.24.31.553 W003.26.13.391
N051.24.31.090 W003.26.14.380
N051.24.30.590 W003.26.14.128

;Apron J
REGIONNAME St Athan
smrGDapron N051.24.26.534 W003.26.11.953
N051.24.26.681 W003.26.11.848
N051.24.26.786 W003.26.11.696
N051.24.26.857 W003.26.11.437
N051.24.27.869 W003.26.06.302
N051.24.28.326 W003.26.06.530
N051.24.27.375 W003.26.11.424
N051.24.27.332 W003.26.11.737
N051.24.27.313 W003.26.12.021
N051.24.27.356 W003.26.12.230
N051.24.27.418 W003.26.12.424
N051.24.27.585 W003.26.12.646
N051.24.26.301 W003.26.11.991

;Apron A
REGIONNAME St Athan
smrGDapron N051.24.11.058 W003.26.06.783
N051.24.10.976 W003.26.06.469
N051.24.11.332 W003.26.04.690
N051.24.11.496 W003.26.04.551
N051.24.11.939 W003.26.04.763
N051.24.12.082 W003.26.04.485
N051.24.12.101 W003.26.04.396
N051.24.12.043 W003.26.04.365
N051.24.12.298 W003.26.03.171
N051.24.12.579 W003.26.03.590
N051.24.12.540 W003.26.03.960
N051.24.12.652 W003.26.04.077
N051.24.12.770 W003.26.04.210
N051.24.12.876 W003.26.04.386
N051.24.12.958 W003.26.04.549
N051.24.13.023 W003.26.04.739
N051.24.13.079 W003.26.04.975
N051.24.13.108 W003.26.05.258
N051.24.13.103 W003.26.05.351
N051.24.13.326 W003.26.05.448
N051.24.12.947 W003.26.07.711

;Apron K1
REGIONNAME St Athan
