EGTK Oxford SMAA            S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N051.37.19.388 W001.20.26.886 N051.37.23.141 W001.20.26.962
                            N051.37.23.141 W001.20.26.962 N051.37.38.819 W001.20.25.418
                            N051.37.38.819 W001.20.25.418 N051.37.54.353 W001.20.21.678
                            N051.37.54.353 W001.20.21.678 N051.38.09.627 W001.20.15.772
                            N051.38.09.627 W001.20.15.772 N051.38.24.522 W001.20.07.745
                            N051.38.24.522 W001.20.07.745 N051.38.38.926 W001.19.57.656
                            N051.38.38.926 W001.19.57.656 N051.38.52.730 W001.19.45.584
                            N051.38.52.730 W001.19.45.584 N051.39.05.828 W001.19.31.620
                            N051.39.05.828 W001.19.31.620 N051.39.18.121 W001.19.15.871
                            N051.39.18.121 W001.19.15.871 N051.39.29.514 W001.18.58.455
                            N051.39.29.514 W001.18.58.455 N051.39.39.922 W001.18.39.507
                            N051.39.39.922 W001.18.39.507 N051.39.49.265 W001.18.19.169
                            N051.39.49.265 W001.18.19.169 N051.39.57.472 W001.17.57.598
                            N051.39.57.472 W001.17.57.598 N051.40.04.481 W001.17.34.956
                            N051.40.04.481 W001.17.34.956 N051.40.10.237 W001.17.11.417
                            N051.40.10.237 W001.17.11.417 N051.40.14.698 W001.16.47.159
                            N051.40.14.698 W001.16.47.159 N051.40.17.830 W001.16.22.367
                            N051.40.17.830 W001.16.22.367 N051.40.19.608 W001.15.57.229
                            N051.40.19.608 W001.15.57.229 N051.40.20.019 W001.15.31.938
                            N051.59.15.287 W001.28.49.274 N051.59.50.216 W001.28.11.790
                            N051.59.50.216 W001.28.11.790 N052.00.22.996 W001.27.29.514
                            N052.00.22.996 W001.27.29.514 N052.00.53.380 W001.26.42.766
                            N052.00.53.380 W001.26.42.766 N052.00.03.999 W001.23.44.000
                            N052.00.03.999 W001.23.44.000 N051.59.57.332 W001.23.24.521
                            N051.59.57.332 W001.23.24.521 N051.59.48.662 W001.23.03.267
                            N051.59.48.662 W001.23.03.267 N051.59.38.884 W001.22.43.319
                            N051.59.38.884 W001.22.43.319 N051.59.28.072 W001.22.24.831
                            N051.59.28.072 W001.22.24.831 N051.59.16.308 W001.22.07.941
                            N051.59.16.308 W001.22.07.941 N051.59.03.681 W001.21.52.780
                            N051.59.03.681 W001.21.52.780 N051.58.50.288 W001.21.39.462
                            N051.58.50.288 W001.21.39.462 N051.58.36.231 W001.21.28.090
                            N051.58.36.231 W001.21.28.090 N051.58.21.617 W001.21.18.748
                            N051.58.21.617 W001.21.18.748 N051.58.06.556 W001.21.11.509
                            N051.58.06.556 W001.21.11.509 N051.57.51.164 W001.21.06.427
                            N051.57.51.164 W001.21.06.427 N051.57.35.557 W001.21.03.542
                            N051.57.35.557 W001.21.03.542 N051.57.19.855 W001.21.02.875
                            N051.57.19.855 W001.21.02.875 N051.57.04.177 W001.21.04.431
                            N051.57.04.177 W001.21.04.431 N051.56.48.642 W001.21.08.198
                            N051.56.48.642 W001.21.08.198 N051.56.33.369 W001.21.14.148
                            N051.56.33.369 W001.21.14.148 N051.56.18.473 W001.21.22.236
                            N051.56.18.473 W001.21.22.236 N051.56.04.068 W001.21.32.399
                            N051.56.04.068 W001.21.32.399 N051.55.50.264 W001.21.44.562
                            N051.55.50.264 W001.21.44.562 N051.55.37.166 W001.21.58.630
                            N051.55.37.166 W001.21.58.630 N051.55.24.873 W001.22.14.497
