;Airfield Boundary
N052.47.26.597 W002.39.53.626
N052.47.26.961 W002.39.53.634
N052.47.26.963 W002.39.53.721
N052.47.27.122 W002.39.53.747
N052.47.30.431 W002.39.56.931
N052.47.30.386 W002.39.57.067
N052.47.30.516 W002.39.57.204
N052.47.30.496 W002.39.57.279
N052.47.30.610 W002.39.57.414
N052.47.30.576 W002.39.57.513
N052.47.30.512 W002.39.57.637
N052.47.30.435 W002.39.57.749
N052.47.30.311 W002.39.57.861
N052.47.30.218 W002.39.57.926
N052.47.30.101 W002.39.57.977
N052.47.29.969 W002.39.57.989

;East Grass
REGIONNAME Shawbury
smrMilGrass N052.47.23.171 W002.39.54.003
N052.47.23.202 W002.39.53.879
N052.47.23.265 W002.39.53.748
N052.47.23.319 W002.39.53.649
N052.47.23.414 W002.39.53.589
N052.47.25.501 W002.39.53.510
N052.47.25.486 W002.39.53.746
N052.47.25.444 W002.39.53.975
N052.47.25.402 W002.39.54.204
N052.47.25.328 W002.39.54.472
N052.47.25.246 W002.39.54.610
N052.47.25.171 W002.39.54.709
N052.47.25.076 W002.39.54.761
N052.47.24.990 W002.39.54.775
N052.47.24.875 W002.39.54.762
N052.47.24.717 W002.39.54.678
N052.47.24.511 W002.39.54.529
N052.47.24.310 W002.39.54.413
N052.47.24.129 W002.39.54.311
N052.47.23.924 W002.39.54.216
N052.47.23.745 W002.39.54.142
N052.47.23.556 W002.39.54.100
N052.47.23.373 W002.39.54.045

;West Taxiway
REGIONNAME Shawbury
smrTaxiwayDarker N052.47.08.374 W002.40.05.671
N052.47.08.088 W002.40.05.767
N052.47.07.984 W002.40.05.939
N052.47.07.958 W002.40.06.112
N052.47.07.954 W002.40.06.301
N052.47.07.990 W002.40.06.558
N052.47.08.076 W002.40.06.921
N052.47.08.235 W002.40.07.273
N052.47.08.381 W002.40.07.505
N052.47.08.582 W002.40.07.718
N052.47.08.775 W002.40.07.840
N052.47.08.997 W002.40.07.911
N052.47.09.238 W002.40.07.890
N052.47.09.444 W002.40.07.820
N052.47.09.734 W002.40.07.589
N052.47.09.913 W002.40.07.370
N052.47.10.771 W002.40.05.914
N052.47.10.614 W002.40.05.656
N052.47.12.138 W002.40.05.650
N052.47.11.870 W002.40.05.766
N052.47.11.709 W002.40.05.843
N052.47.11.590 W002.40.05.952
N052.47.11.512 W002.40.06.085
N052.47.10.136 W002.40.08.397
N052.47.09.951 W002.40.08.613
N052.47.09.767 W002.40.08.790
N052.47.09.560 W002.40.08.927
N052.47.09.341 W002.40.09.010
N052.47.09.081 W002.40.09.050
N052.47.08.850 W002.40.09.044
N052.47.08.625 W002.40.08.977
N052.47.08.383 W002.40.08.857
N052.47.08.201 W002.40.08.695
N052.47.07.904 W002.40.08.355
N052.47.08.031 W002.40.09.183
N052.47.08.172 W002.40.09.854
N052.47.08.290 W002.40.10.263
N052.47.08.412 W002.40.10.620
N052.47.08.599 W002.40.11.100
N052.47.08.951 W002.40.11.840
N052.47.09.210 W002.40.12.281
N052.47.09.457 W002.40.12.633
N052.47.09.669 W002.40.12.919
N052.47.09.964 W002.40.13.226
N052.47.10.247 W002.40.13.473
N052.47.10.537 W002.40.13.701
N052.47.10.957 W002.40.13.962
N052.47.11.247 W002.40.14.080
N052.47.11.594 W002.40.14.180
N052.47.11.957 W002.40.14.261
N052.47.12.358 W002.40.14.284
N052.47.25.444 W002.40.14.328
N052.47.25.858 W002.40.14.373
N052.47.26.221 W002.40.14.445
N052.47.26.547 W002.40.14.556
N052.47.26.897 W002.40.14.684
N052.47.27.207 W002.40.14.849
N052.47.27.453 W002.40.15.001
N052.47.27.879 W002.40.15.313
N052.47.27.976 W002.40.15.324
N052.47.27.801 W002.40.14.881
N052.47.27.642 W002.40.14.391
N052.47.27.520 W002.40.13.908
N052.47.27.408 W002.40.13.369
N052.47.27.319 W002.40.12.730
N052.47.27.252 W002.40.12.153
N052.47.27.194 W002.40.11.457
N052.47.27.149 W002.40.10.605
N052.47.27.118 W002.40.09.751
N052.47.27.117 W002.40.08.783
N052.47.27.116 W002.40.08.262
N052.47.27.134 W002.40.07.505
N052.47.27.218 W002.40.06.756
N052.47.27.370 W002.40.05.712
N052.47.28.146 W002.40.05.366
N052.47.28.387 W002.40.05.738
N052.47.28.145 W002.40.05.867
N052.47.28.023 W002.40.05.954
N052.47.27.884 W002.40.06.097
N052.47.27.814 W002.40.06.234
N052.47.27.731 W002.40.06.464
N052.47.27.667 W002.40.06.838
N052.47.27.598 W002.40.07.511
N052.47.27.575 W002.40.08.208
N052.47.27.575 W002.40.08.971
N052.47.27.579 W002.40.09.420
N052.47.27.588 W002.40.09.959
N052.47.27.615 W002.40.10.695
