;Blue_Background
REGIONNAME Belfast City
smrBlue N054.40.39.960 W006.05.09.973
N054.36.51.458 W005.52.25.233
N054.36.51.245 W005.52.25.636
N054.36.51.023 W005.52.26.087
N054.36.50.823 W005.52.26.709
N054.36.50.657 W005.52.27.118
N054.36.50.451 W005.52.27.673
N054.36.50.289 W005.52.28.023
N054.36.50.137 W005.52.28.308
N054.36.51.396 W005.52.30.823
N054.36.48.837 W005.52.33.891
N054.36.47.882 W005.52.31.207
N054.36.47.825 W005.52.31.176
N054.36.46.114 W005.52.33.192
N054.36.45.888 W005.52.33.612
N054.36.45.758 W005.52.34.084
N054.36.45.662 W005.52.34.622
N054.36.45.671 W005.52.35.533
N054.36.45.776 W005.52.36.046
N054.36.45.909 W005.52.36.440
N054.36.46.723 W005.52.38.438
N054.36.46.178 W005.52.38.964
N054.36.45.201 W005.52.36.533
N054.36.44.968 W005.52.36.250
N054.36.44.689 W005.52.36.018
N054.36.44.365 W005.52.35.907
N054.36.44.026 W005.52.35.923
N054.36.43.721 W005.52.36.002
N054.36.43.431 W005.52.36.291
N054.36.40.097 W005.52.40.288
N054.36.39.746 W005.52.40.730
N054.36.39.592 W005.52.41.034
N054.36.39.454 W005.52.41.546
N054.36.39.374 W005.52.42.099
N054.36.39.339 W005.52.42.688
N054.36.39.339 W005.52.43.413
N054.36.39.410 W005.52.44.015
N054.36.39.529 W005.52.44.565
N054.36.39.687 W005.52.45.102
N054.36.40.050 W005.52.46.114
N054.36.39.651 W005.52.46.821
N054.36.39.275 W005.52.45.895

;Main_Apron
REGIONNAME Belfast City
smrACapron N054.36.49.140 W005.52.22.525
N054.36.49.123 W005.52.22.419
N054.36.49.131 W005.52.22.268
N054.36.49.251 W005.52.21.878
N054.36.49.464 W005.52.21.634
N054.36.49.593 W005.52.21.456
N054.36.50.534 W005.52.19.290
N054.36.57.192 W005.52.11.477
N054.36.58.486 W005.52.10.785
N054.36.58.709 W005.52.10.579
N054.36.59.028 W005.52.10.213
N054.36.59.019 W005.52.10.140
N054.36.59.107 W005.52.10.025
N054.36.59.318 W005.52.09.836
N054.36.59.471 W005.52.09.791
N054.36.59.669 W005.52.09.841
N054.36.59.777 W005.52.09.974
N054.37.00.368 W005.52.11.422
N054.36.49.751 W005.52.24.109

;Taxiway_S
REGIONNAME Belfast City
black N054.36.59.836 W005.52.46.988
N054.37.00.385 W005.52.46.998
N054.37.00.217 W005.52.48.369
N054.37.00.476 W005.52.48.876
N054.36.59.214 W005.52.51.026
N054.36.54.131 W005.52.41.127
N054.36.55.693 W005.52.39.136

;Taxiway_R_(Disused)
REGIONNAME Belfast City
black N054.36.55.932 W005.52.47.211
N054.36.56.727 W005.52.46.159
N054.36.56.824 W005.52.46.344
N054.36.56.014 W005.52.47.448
N054.36.58.114 W005.52.53.193
N054.36.56.760 W005.52.55.851
N054.36.56.026 W005.52.53.930
N054.36.55.747 W005.52.53.794
N054.36.54.093 W005.52.53.884
N054.36.54.009 W005.52.53.992
N054.36.54.304 W005.52.54.561
N054.36.54.927 W005.52.55.861
N054.36.54.226 W005.52.55.788
N054.36.54.089 W005.52.55.354
N054.36.53.772 W005.52.54.746
N054.36.53.557 W005.52.54.437
N054.36.53.333 W005.52.54.208
N054.36.53.003 W005.52.53.974
N054.36.52.563 W005.52.53.951
N054.36.52.620 W005.52.53.215
N054.36.54.313 W005.52.53.088
N054.36.55.416 W005.52.53.056
N054.36.55.558 W005.52.52.958
N054.36.55.629 W005.52.52.830
N054.36.53.432 W005.52.46.712
N054.36.51.790 W005.52.48.569
N054.36.51.582 W005.52.49.058
N054.36.51.506 W005.52.49.219
N054.36.51.381 W005.52.49.398
N054.36.51.153 W005.52.49.366
N054.36.51.003 W005.52.49.166
N054.36.50.918 W005.52.48.864
N054.36.50.959 W005.52.48.508
N054.36.51.070 W005.52.48.296
N054.36.51.255 W005.52.48.230
N054.36.51.444 W005.52.48.273
N054.36.53.250 W005.52.46.174
N054.36.51.996 W005.52.42.741
N054.36.53.641 W005.52.41.020

;Taxiway_T
REGIONNAME Belfast City
black N054.37.03.617 W005.52.33.014
N054.37.04.791 W005.52.31.634
N054.37.06.173 W005.52.35.083
N054.37.04.414 W005.52.36.956
N054.37.01.634 W005.52.29.984
N054.37.02.097 W005.52.29.297

;R_Disused_X
REGIONNAME Belfast City
black N054.36.51.387 W005.52.40.066
N054.36.51.362 W005.52.39.884
N054.36.51.276 W005.52.39.797
N054.36.51.303 W005.52.39.716
N054.36.51.360 W005.52.39.801
N054.36.51.351 W005.52.39.637
N054.36.51.385 W005.52.39.623
N054.36.51.399 W005.52.39.818
N054.36.51.492 W005.52.39.916
N054.36.51.473 W005.52.39.999
N054.36.51.409 W005.52.39.938
N054.36.51.426 W005.52.40.060

;R_Disused_X
REGIONNAME Belfast City
smrWhite N054.36.51.644 W005.52.39.771
N054.36.51.608 W005.52.39.563
N054.36.51.512 W005.52.39.468
N054.36.51.539 W005.52.39.410
N054.36.51.596 W005.52.39.467
N054.36.51.586 W005.52.39.314
N054.36.51.627 W005.52.39.291
N054.36.51.643 W005.52.39.504
N054.36.51.750 W005.52.39.618
N054.36.51.732 W005.52.39.699
N054.36.51.666 W005.52.39.627
N054.36.51.682 W005.52.39.751

;R_Disused_X
REGIONNAME Belfast City
smrWhite N054.36.51.893 W005.52.39.426
N054.36.51.878 W005.52.39.252
N054.36.51.783 W005.52.39.153
N054.36.51.813 W005.52.39.097
N054.36.51.872 W005.52.39.178
N054.36.51.863 W005.52.39.015
N054.36.51.909 W005.52.39.003
N054.36.51.915 W005.52.39.188
N054.36.52.020 W005.52.39.311
N054.36.51.988 W005.52.39.380
N054.36.51.931 W005.52.39.300
N054.36.51.951 W005.52.39.417

;R_Disused_X
REGIONNAME Belfast City
smrWhite N054.36.52.173 W005.52.39.099
N054.36.52.135 W005.52.38.953
N054.36.52.042 W005.52.38.853
N054.36.52.071 W005.52.38.785
N054.36.52.132 W005.52.38.870
N054.36.52.113 W005.52.38.736
N054.36.52.156 W005.52.38.686
N054.36.52.187 W005.52.38.889
N054.36.52.270 W005.52.38.976
N054.36.52.253 W005.52.39.046
N054.36.52.190 W005.52.38.973
N054.36.52.223 W005.52.39.088

;R_Disused_X
REGIONNAME Belfast City
smrWhite N054.36.52.423 W005.52.38.788
N054.36.52.414 W005.52.38.640
N054.36.52.337 W005.52.38.540
N054.36.52.361 W005.52.38.474
N054.36.52.408 W005.52.38.534
N054.36.52.405 W005.52.38.422
N054.36.52.446 W005.52.38.397
N054.36.52.452 W005.52.38.568
N054.36.52.527 W005.52.38.664
N054.36.52.509 W005.52.38.741
N054.36.52.454 W005.52.38.648
N054.36.52.481 W005.52.38.791

;Q_Disused_X
REGIONNAME Belfast City
smrWhite N054.36.50.284 W005.52.36.818
N054.36.50.246 W005.52.36.831
N054.36.50.214 W005.52.36.662
N054.36.50.138 W005.52.36.593
N054.36.50.168 W005.52.36.532
N054.36.50.214 W005.52.36.589
N054.36.50.192 W005.52.36.495
N054.36.50.245 W005.52.36.478
N054.36.50.261 W005.52.36.643
N054.36.50.354 W005.52.36.719
N054.36.50.325 W005.52.36.791
N054.36.50.268 W005.52.36.711

;Q_Disused_X
REGIONNAME Belfast City
smrWhite N054.36.50.430 W005.52.36.203
N054.36.50.483 W005.52.36.266
N054.36.50.461 W005.52.36.170
N054.36.50.499 W005.52.36.141
N054.36.50.528 W005.52.36.291
N054.36.50.619 W005.52.36.387
N054.36.50.602 W005.52.36.463
N054.36.50.544 W005.52.36.383
N054.36.50.564 W005.52.36.521
N054.36.50.525 W005.52.36.528
N054.36.50.496 W005.52.36.348
N054.36.50.412 W005.52.36.259

;Q_Disused_X
REGIONNAME Belfast City
smrWhite N054.36.50.853 W005.52.36.153
N054.36.50.800 W005.52.36.061
N054.36.50.815 W005.52.36.204
N054.36.50.773 W005.52.36.209
N054.36.50.766 W005.52.36.046
N054.36.50.694 W005.52.35.964
N054.36.50.710 W005.52.35.901
N054.36.50.741 W005.52.35.947
N054.36.50.738 W005.52.35.855
N054.36.50.775 W005.52.35.844
N054.36.50.797 W005.52.35.995
N054.36.50.882 W005.52.36.098

;Q_Disused_X
REGIONNAME Belfast City
smrWhite N054.36.51.118 W005.52.35.841
N054.36.51.070 W005.52.35.842
N054.36.51.053 W005.52.35.689
N054.36.50.969 W005.52.35.607
N054.36.51.005 W005.52.35.529
N054.36.51.039 W005.52.35.583
N054.36.51.042 W005.52.35.481
N054.36.51.083 W005.52.35.478
N054.36.51.090 W005.52.35.636
N054.36.51.181 W005.52.35.731
N054.36.51.164 W005.52.35.778
N054.36.51.101 W005.52.35.718

;Q_Disused_X
REGIONNAME Belfast City
smrWhite N054.36.51.349 W005.52.35.493
N054.36.51.334 W005.52.35.354
N054.36.51.248 W005.52.35.255
N054.36.51.272 W005.52.35.184
N054.36.51.325 W005.52.35.268
N054.36.51.313 W005.52.35.163
N054.36.51.352 W005.52.35.152
N054.36.51.364 W005.52.35.300
N054.36.51.438 W005.52.35.387
N054.36.51.432 W005.52.35.446
N054.36.51.373 W005.52.35.382
N054.36.51.395 W005.52.35.489

;Q_Disused_X
REGIONNAME Belfast City
smrWhite N054.36.51.607 W005.52.35.231
N054.36.51.565 W005.52.35.247
N054.36.51.545 W005.52.35.079
N054.36.51.475 W005.52.34.989
N054.36.51.488 W005.52.34.929
N054.36.51.539 W005.52.34.990
N054.36.51.532 W005.52.34.881
N054.36.51.558 W005.52.34.864
N054.36.51.578 W005.52.35.042
N054.36.51.660 W005.52.35.154
N054.36.51.640 W005.52.35.200
N054.36.51.594 W005.52.35.136

;Q_Disused_X
REGIONNAME Belfast City
smrWhite N054.36.51.833 W005.52.34.930
N054.36.51.809 W005.52.34.766
N054.36.51.746 W005.52.34.693
N054.36.51.755 W005.52.34.611
N054.36.51.791 W005.52.34.676
N054.36.51.794 W005.52.34.570
N054.36.51.830 W005.52.34.562
N054.36.51.852 W005.52.34.721
N054.36.51.936 W005.52.34.805
N054.36.51.923 W005.52.34.870
N054.36.51.858 W005.52.34.793
N054.36.51.876 W005.52.34.910

;Q_Disused_X
REGIONNAME Belfast City
smrWhite N054.36.52.103 W005.52.34.622
N054.36.52.075 W005.52.34.455
N054.36.52.004 W005.52.34.381
N054.36.52.010 W005.52.34.303
N054.36.52.059 W005.52.34.348
N054.36.52.050 W005.52.34.261
N054.36.52.106 W005.52.34.246
N054.36.52.109 W005.52.34.409
N054.36.52.196 W005.52.34.479
N054.36.52.189 W005.52.34.540
N054.36.52.132 W005.52.34.492
N054.36.52.141 W005.52.34.611

;Q_Disused_X
REGIONNAME Belfast City
smrWhite N054.36.52.366 W005.52.34.292
N054.36.52.356 W005.52.34.128
N054.36.52.272 W005.52.34.045
N054.36.52.288 W005.52.33.982
N054.36.52.346 W005.52.34.047
N054.36.52.336 W005.52.33.941
N054.36.52.377 W005.52.33.915
N054.36.52.401 W005.52.34.067
N054.36.52.489 W005.52.34.168
N054.36.52.464 W005.52.34.243
N054.36.52.405 W005.52.34.170
N054.36.52.408 W005.52.34.279

;Q_Disused_X
REGIONNAME Belfast City
smrWhite N054.36.52.664 W005.52.33.998
N054.36.52.625 W005.52.33.995
N054.36.52.608 W005.52.33.840
N054.36.52.525 W005.52.33.752
N054.36.52.547 W005.52.33.681
N054.36.52.599 W005.52.33.731
N054.36.52.589 W005.52.33.637
N054.36.52.621 W005.52.33.629
N054.36.52.654 W005.52.33.787
N054.36.52.738 W005.52.33.842
N054.36.52.721 W005.52.33.909
N054.36.52.661 W005.52.33.882

;Disused_Road_Opposite_A1_X
REGIONNAME Belfast City
smrWhite N054.37.07.774 W005.52.20.514
N054.37.07.735 W005.52.20.322
N054.37.07.660 W005.52.20.237
N054.37.07.683 W005.52.20.150
N054.37.07.747 W005.52.20.215
N054.37.07.725 W005.52.20.117
N054.37.07.764 W005.52.20.083
N054.37.07.809 W005.52.20.263
N054.37.07.877 W005.52.20.369
N054.37.07.860 W005.52.20.436
N054.37.07.792 W005.52.20.347
N054.37.07.817 W005.52.20.499

;Disused_Road_Opposite_A1_X
REGIONNAME Belfast City
smrWhite N054.37.08.024 W005.52.20.154
N054.37.08.000 W005.52.19.999
N054.37.07.919 W005.52.19.919
N054.37.07.944 W005.52.19.849
N054.37.07.998 W005.52.19.900
N054.37.07.988 W005.52.19.802
N054.37.08.020 W005.52.19.778
N054.37.08.036 W005.52.19.938
N054.37.08.119 W005.52.20.042
N054.37.08.105 W005.52.20.106
N054.37.08.044 W005.52.20.032
N054.37.08.073 W005.52.20.140

;Disused_Road_Opposite_A1_X
REGIONNAME Belfast City
smrWhite N054.37.08.312 W005.52.19.852
N054.37.08.268 W005.52.19.873
N054.37.08.258 W005.52.19.695
N054.37.08.177 W005.52.19.625
N054.37.08.205 W005.52.19.547
N054.37.08.241 W005.52.19.617
N054.37.08.242 W005.52.19.498
N054.37.08.279 W005.52.19.476
N054.37.08.303 W005.52.19.657
N054.37.08.368 W005.52.19.753
N054.37.08.347 W005.52.19.810
N054.37.08.302 W005.52.19.744

;Disused_Road_Opposite_A3_X
REGIONNAME Belfast City
smrWhite N054.36.42.109 W005.52.51.150
N054.36.42.083 W005.52.50.979
N054.36.42.008 W005.52.50.879
N054.36.42.027 W005.52.50.836
N054.36.42.075 W005.52.50.872
N054.36.42.064 W005.52.50.790
N054.36.42.105 W005.52.50.773
N054.36.42.124 W005.52.50.909
N054.36.42.225 W005.52.51.039
N054.36.42.197 W005.52.51.107
N054.36.42.143 W005.52.51.033
N054.36.42.159 W005.52.51.128

;Disused_Road_Opposite_A3_X
REGIONNAME Belfast City
smrWhite N054.36.42.389 W005.52.50.841
N054.36.42.359 W005.52.50.685
N054.36.42.277 W005.52.50.579
N054.36.42.298 W005.52.50.515
N054.36.42.339 W005.52.50.553
N054.36.42.328 W005.52.50.476
N054.36.42.371 W005.52.50.446
N054.36.42.399 W005.52.50.612
N054.36.42.487 W005.52.50.712
N054.36.42.467 W005.52.50.777
N054.36.42.416 W005.52.50.724
N054.36.42.433 W005.52.50.813

;Disused_Road_Opposite_A3_X
REGIONNAME Belfast City
smrWhite N054.36.42.617 W005.52.50.553
N054.36.42.615 W005.52.50.387
