;Airfield Boundary
N056.22.48.880 W002.51.15.308
N056.22.48.962 W002.51.15.796
N056.22.49.047 W002.51.16.340
N056.22.49.157 W002.51.17.120
N056.22.49.608 W002.51.17.452
N056.22.51.359 W002.51.16.539
N056.22.51.747 W002.51.18.346
N056.22.49.503 W002.51.19.415
N056.22.49.315 W002.51.19.902
N056.22.49.245 W002.51.20.645
N056.22.49.190 W002.51.21.306
N056.22.49.116 W002.51.22.010
N056.22.49.009 W002.51.22.703
N056.22.48.884 W002.51.23.445
N056.22.48.715 W002.51.24.244
N056.22.48.540 W002.51.24.950
N056.22.48.263 W002.51.25.835
N056.22.48.032 W002.51.26.441
N056.22.47.715 W002.51.27.135
N056.22.47.554 W002.51.27.394
N056.22.47.417 W002.51.27.668
N056.22.47.358 W002.51.27.947
N056.22.47.307 W002.51.28.270
N056.22.47.270 W002.51.28.621
N056.22.47.283 W002.51.29.017
N056.22.49.338 W002.51.35.453
N056.22.48.344 W002.51.36.842
N056.22.48.430 W002.51.36.486
N056.22.48.489 W002.51.36.154
N056.22.48.558 W002.51.35.811
N056.22.48.595 W002.51.35.469
N056.22.48.585 W002.51.35.125
N056.22.48.539 W002.51.34.762
N056.22.48.114 W002.51.33.487
N056.22.46.977 W002.51.29.937
N056.22.46.894 W002.51.30.041
N056.22.46.660 W002.51.29.910
N056.22.46.046 W002.51.30.771
N056.22.45.965 W002.51.30.930
N056.22.45.938 W002.51.31.121
N056.22.45.929 W002.51.31.331
N056.22.45.946 W002.51.31.665
N056.22.46.002 W002.51.31.941
N056.22.46.068 W002.51.32.132
N056.22.46.201 W002.51.32.335
N056.22.46.707 W002.51.32.246
N056.22.47.249 W002.51.33.109
N056.22.46.440 W002.51.34.602
N056.22.45.850 W002.51.33.715
N056.22.45.381 W002.51.34.699
N056.22.44.726 W002.51.33.705
N056.22.45.122 W002.51.32.888
N056.22.45.285 W002.51.33.144
N056.22.45.502 W002.51.32.294
N056.22.45.474 W002.51.31.157
N056.22.44.804 W002.51.31.090
N056.22.44.588 W002.51.31.536
N056.22.44.645 W002.51.32.130
N056.22.44.190 W002.51.33.000
N056.22.43.330 W002.51.31.295
N056.22.43.815 W002.51.30.418
N056.22.43.454 W002.51.29.612
N056.22.44.011 W002.51.28.621
N056.22.44.470 W002.51.29.540
N056.22.44.364 W002.51.29.726
N056.22.44.677 W002.51.30.303
N056.22.44.841 W002.51.30.382
N056.22.45.063 W002.51.30.391
