;Blue_Background
REGIONNAME Belfast Aldergrove
smrBlue N054.43.51.592 W006.23.51.411
N054.38.53.824 W006.13.17.186
N054.38.54.253 W006.13.16.787
N054.38.54.406 W006.13.16.418
N054.38.54.547 W006.13.15.767
N054.38.54.960 W006.13.15.933
N054.38.54.866 W006.13.16.853
N054.38.54.909 W006.13.17.224
N054.38.55.032 W006.13.17.495
N054.38.55.014 W006.13.17.711
N054.38.55.181 W006.13.18.008
N054.38.56.942 W006.13.18.722
N054.38.57.147 W006.13.18.472
N054.38.57.446 W006.13.17.087
N054.38.57.560 W006.13.17.121
N054.38.57.297 W006.13.18.567
N054.38.57.363 W006.13.18.930
N054.38.58.012 W006.13.19.333
N054.38.58.218 W006.13.19.305
N054.38.58.419 W006.13.19.207
N054.38.58.973 W006.13.18.621
N054.38.59.327 W006.13.19.513
N054.38.59.307 W006.13.19.878
N054.38.59.448 W006.13.20.271
N054.38.59.645 W006.13.20.063
N054.39.00.402 W006.13.20.690
N054.39.00.527 W006.13.21.332
N054.39.01.512 W006.13.21.810
N054.39.01.923 W006.13.21.492
N054.39.01.730 W006.13.20.679
N054.39.02.461 W006.13.20.658
N054.39.02.648 W006.13.21.865
N054.39.02.961 W006.13.21.881
N054.39.03.320 W006.13.21.758
N054.39.03.476 W006.13.23.783
N054.39.02.874 W006.13.24.550
N054.39.02.651 W006.13.25.045
N054.39.01.894 W006.13.24.871
;Taxiway_J
REGIONNAME Belfast Aldergrove
black N054.39.05.944 W006.13.57.176
N054.39.05.690 W006.13.56.897
N054.39.04.934 W006.13.56.581
N054.39.03.132 W006.13.49.036
N054.39.03.235 W006.13.48.583
N054.39.02.863 W006.13.47.350
N054.39.02.447 W006.13.47.061
N054.39.02.181 W006.13.46.223
N054.39.02.183 W006.13.45.390
N054.39.01.570 W006.13.44.136
N054.39.01.041 W006.13.44.093
N054.39.00.682 W006.13.43.214
N054.38.59.980 W006.13.42.961
N054.38.59.690 W006.13.42.236
N054.38.58.847 W006.13.41.662
N054.38.58.365 W006.13.42.055
N054.38.55.735 W006.13.40.884
N054.38.55.352 W006.13.39.381
N054.38.55.019 W006.13.39.257
N054.38.54.690 W006.13.39.357
N054.38.54.476 W006.13.39.668
N054.38.54.222 W006.13.40.379
N054.38.53.789 W006.13.40.042
N054.38.53.887 W006.13.39.443
N054.38.53.934 W006.13.38.373
N054.38.53.801 W006.13.37.371
N054.38.53.673 W006.13.36.817
N054.38.53.555 W006.13.36.666
N054.38.53.370 W006.13.37.195
N054.38.53.161 W006.13.37.024
N054.38.53.360 W006.13.35.930
N054.38.52.020 W006.13.33.717
N054.38.51.748 W006.13.33.773
N054.38.51.603 W006.13.34.166
N054.38.51.358 W006.13.33.912
N054.38.51.529 W006.13.33.214
N054.38.51.495 W006.13.32.817
N054.38.50.350 W006.13.30.826
N054.38.50.052 W006.13.31.528
N054.38.49.962 W006.13.31.383
N054.38.50.034 W006.13.30.777
N054.38.49.877 W006.13.30.666
N054.38.49.673 W006.13.30.949
N054.38.49.277 W006.13.31.092
N054.38.49.229 W006.13.29.889
N054.38.49.547 W006.13.29.803
N054.38.49.633 W006.13.29.675
N054.38.48.885 W006.13.28.440
N054.38.48.015 W006.13.27.114
N054.38.47.519 W006.13.26.669
N054.38.40.847 W006.13.22.887
N054.38.40.978 W006.13.22.120
N054.38.41.310 W006.13.22.307
N054.38.41.527 W006.13.22.075
N054.38.41.592 W006.13.21.780
N054.38.41.543 W006.13.21.384
N054.38.41.415 W006.13.20.741
N054.38.41.302 W006.13.19.637
N054.38.41.793 W006.13.19.604
N054.38.41.871 W006.13.20.545
N054.38.42.153 W006.13.21.688
N054.38.42.599 W006.13.22.670
N054.38.43.264 W006.13.23.406
N054.38.47.805 W006.13.25.983
N054.38.48.252 W006.13.26.389
N054.38.48.606 W006.13.26.828
N054.38.48.993 W006.13.26.828
N054.38.49.584 W006.13.27.812
N054.38.49.635 W006.13.28.513
N054.38.50.344 W006.13.29.675
N054.38.50.793 W006.13.29.554
N054.38.51.302 W006.13.30.686
N054.38.51.305 W006.13.31.281
N054.38.51.441 W006.13.31.464
N054.38.51.807 W006.13.31.424
N054.38.52.340 W006.13.32.324
N054.38.52.389 W006.13.33.171
N054.38.53.097 W006.13.34.275
N054.38.53.582 W006.13.34.289
N054.38.54.067 W006.13.35.071
N054.38.54.113 W006.13.36.031
N054.38.54.373 W006.13.36.368
N054.38.54.538 W006.13.36.226
N054.38.54.652 W006.13.35.957
N054.38.54.796 W006.13.35.315
N054.38.54.976 W006.13.35.415
N054.38.54.886 W006.13.35.948
N054.38.55.124 W006.13.36.113
N054.38.54.936 W006.13.37.290
N054.38.55.023 W006.13.37.861
N054.38.55.274 W006.13.38.383
N054.38.55.502 W006.13.38.570
N054.38.56.087 W006.13.38.086
N054.38.58.768 W006.13.40.058
N054.38.58.965 W006.13.40.845
N054.38.59.909 W006.13.41.431
N054.39.00.363 W006.13.41.059
N054.39.01.781 W006.13.42.124
N054.39.01.562 W006.13.42.840
N054.39.02.198 W006.13.44.088
N054.39.02.686 W006.13.44.300
N054.39.03.134 W006.13.45.360
N054.39.03.050 W006.13.46.242
N054.39.03.469 W006.13.47.631
N054.39.03.788 W006.13.47.820
N054.39.04.234 W006.13.49.245
N054.39.04.150 W006.13.49.809
N054.39.04.624 W006.13.51.273
N054.39.05.038 W006.13.51.453
N054.39.05.433 W006.13.53.039
N054.39.05.470 W006.13.53.632
N054.39.05.599 W006.13.54.348
N054.39.07.517 W006.14.00.428
N054.39.07.113 W006.14.00.832
;Eastern_Side_of_J_(1)
REGIONNAME Belfast Aldergrove
black N054.39.05.111 W006.13.51.437
N054.39.05.317 W006.13.50.276
N054.39.05.028 W006.13.49.343
N054.39.04.308 W006.13.48.969
N054.39.04.228 W006.13.49.429
N054.39.03.714 W006.13.47.791
N054.39.03.974 W006.13.47.834
N054.39.04.202 W006.13.46.684
N054.39.03.889 W006.13.45.747
N054.39.03.139 W006.13.45.402
N054.39.02.709 W006.13.44.364
N054.39.02.863 W006.13.43.088
N054.39.02.502 W006.13.42.128
N054.39.01.764 W006.13.42.115
N054.39.00.344 W006.13.41.103
N054.39.00.060 W006.13.39.879
N054.38.59.461 W006.13.39.539
N054.38.58.787 W006.13.40.155
N054.38.56.058 W006.13.38.117
N054.38.56.952 W006.13.37.393
N054.38.57.583 W006.13.37.058
N054.38.57.966 W006.13.37.417
N054.38.58.236 W006.13.38.015
N054.38.58.583 W006.13.39.298
N054.38.59.275 W006.13.38.772
N054.38.59.840 W006.13.38.505
N054.39.00.217 W006.13.38.768
N054.39.00.949 W006.13.41.178
N054.39.02.710 W006.13.41.346
N054.39.03.168 W006.13.41.588
N054.39.04.750 W006.13.45.967
N054.39.04.751 W006.13.46.554
N054.39.04.522 W006.13.47.765
N054.39.04.711 W006.13.47.893
N054.39.04.650 W006.13.48.236
N054.39.05.681 W006.13.48.885
N054.39.05.869 W006.13.49.505
N054.39.05.830 W006.13.50.311
N054.39.05.581 W006.13.51.606
N054.39.05.438 W006.13.53.117
N054.39.05.004 W006.13.51.419
;Eastern_Side_of_J_(2)
REGIONNAME Belfast Aldergrove
black N054.38.53.574 W006.13.33.011
N054.38.53.124 W006.13.32.260
N054.38.52.340 W006.13.32.282
N054.38.51.771 W006.13.31.434
N054.38.53.116 W006.13.31.419
N054.38.53.653 W006.13.31.529
N054.38.53.934 W006.13.32.014
N054.38.54.045 W006.13.33.062
N054.38.54.071 W006.13.35.097
N054.38.53.604 W006.13.34.412
;Eastern_Side_of_J_(3)
REGIONNAME Belfast Aldergrove
black N054.38.50.805 W006.13.28.261
N054.38.50.342 W006.13.27.550
N054.38.49.689 W006.13.27.544
N054.38.49.584 W006.13.27.864
N054.38.48.987 W006.13.26.840
N054.38.50.304 W006.13.26.738
N054.38.50.816 W006.13.26.838
N054.38.51.168 W006.13.27.327
N054.38.51.272 W006.13.28.312
N054.38.51.297 W006.13.30.757
N054.38.50.790 W006.13.29.633
