;Apron Outline
N055.52.06.304 W004.25.55.717
N055.52.06.230 W004.25.55.423
N055.52.06.182 W004.25.55.028
N055.52.06.153 W004.25.54.566
N055.52.06.150 W004.25.54.127
N055.52.06.178 W004.25.53.723
N055.52.06.212 W004.25.53.251
N055.52.06.284 W004.25.52.847
N055.52.06.363 W004.25.52.410
N055.52.06.590 W004.25.51.132
N055.52.06.909 W004.25.49.635
N055.52.07.204 W004.25.48.576
N055.52.07.304 W004.25.48.176
N055.52.07.454 W004.25.47.759
N055.52.07.594 W004.25.47.464
N055.52.07.782 W004.25.47.206
N055.52.08.158 W004.25.46.671
N055.52.08.553 W004.25.46.294
N055.52.08.650 W004.25.46.558
N055.52.08.658 W004.25.46.786
N055.52.08.617 W004.25.47.030
N055.52.08.498 W004.25.47.325
N055.52.07.688 W004.25.47.974
N055.52.07.382 W004.25.49.840
N055.52.09.286 W004.25.48.217
N055.52.09.382 W004.25.48.569
N055.52.09.379 W004.25.49.023
N055.52.09.258 W004.25.49.511
N055.52.09.138 W004.25.49.806
N055.52.09.009 W004.25.50.048
N055.52.09.306 W004.25.51.104
N055.52.09.543 W004.25.50.882
N055.52.09.707 W004.25.51.340
N055.52.11.860 W004.25.49.424
N055.52.11.332 W004.25.47.558
N055.52.11.021 W004.25.47.782
N055.52.10.704 W004.25.46.743
N055.52.10.398 W004.25.46.982
N055.52.10.302 W004.25.46.665
N055.52.09.325 W004.25.47.450
N055.52.08.913 W004.25.45.919
N055.52.12.062 W004.25.43.131
N055.52.13.197 W004.25.42.349
N055.52.17.835 W004.25.39.357
N055.52.18.001 W004.25.39.483
N055.52.18.177 W004.25.39.661
N055.52.18.332 W004.25.39.962
N055.52.18.467 W004.25.40.297
N055.52.18.524 W004.25.40.701
N055.52.18.559 W004.25.41.296
N055.52.18.639 W004.25.57.970
N055.52.13.138 W004.26.08.164
;C Disused Loop 2
REGIONNAME Glasgow 
smrSCOGrass N055.52.34.880 W004.25.18.935
N055.52.34.990 W004.25.18.866
N055.52.35.115 W004.25.18.775
N055.52.35.279 W004.25.18.726
N055.52.35.396 W004.25.18.698
N055.52.35.490 W004.25.18.740
N055.52.35.583 W004.25.18.851
N055.52.35.642 W004.25.19.032
N055.52.35.646 W004.25.19.179
N055.52.35.611 W004.25.19.401
N055.52.35.501 W004.25.19.631
N055.52.35.244 W004.25.20.042
N055.52.33.062 W004.25.23.491
N055.52.32.866 W004.25.23.832
N055.52.32.773 W004.25.23.895
N055.52.32.659 W004.25.23.916
N055.52.32.558 W004.25.23.825
N055.52.32.488 W004.25.23.707
N055.52.32.460 W004.25.23.526
N055.52.32.460 W004.25.23.247
N055.52.32.503 W004.25.22.983
N055.52.32.597 W004.25.22.593
N055.52.32.698 W004.25.22.377
N055.52.34.802 W004.25.19.040
;Charlie_Closure
REGIONNAME Glasgow
smrLLConstruction N055.52.18.488 W004.25.40.450
N055.52.18.395 W004.25.40.150
N055.52.18.107 W004.25.39.609
N055.52.17.824 W004.25.39.398
N055.52.20.890 W004.25.37.147
N055.52.20.446 W004.25.37.762
N055.52.20.372 W004.25.37.947
N055.52.20.207 W004.25.38.477
N055.52.20.107 W004.25.39.022
N055.52.20.190 W004.25.50.893
N055.52.20.381 W004.25.52.694
N055.52.20.569 W004.25.53.060
N055.52.20.788 W004.25.53.263
N055.52.21.085 W004.25.53.281
N055.52.18.628 W004.25.58.020
N055.52.18.543 W004.25.40.852
;C Disused Loop 1
REGIONNAME Glasgow 
smrSCOGrass N055.52.31.850 W004.25.23.392
N055.52.31.893 W004.25.23.747
N055.52.31.920 W004.25.24.074
N055.52.31.908 W004.25.24.360
N055.52.31.881 W004.25.24.798
N055.52.31.815 W004.25.25.153
N055.52.31.725 W004.25.25.529
N055.52.31.612 W004.25.25.836
N055.52.30.264 W004.25.28.052
N055.52.30.045 W004.25.28.407
N055.52.29.784 W004.25.28.804
N055.52.29.639 W004.25.29.011
N055.52.28.961 W004.25.29.920
N055.52.28.324 W004.25.30.707
N055.52.28.019 W004.25.31.042
N055.52.27.437 W004.25.31.585
N055.52.27.383 W004.25.31.495
N055.52.31.764 W004.25.23.211
;G Loop
REGIONNAME Glasgow 
smrSCOGrass N055.51.48.692 W004.26.53.388
N055.51.48.418 W004.26.53.441
N055.51.48.212 W004.26.53.348
N055.51.47.612 W004.26.52.583
N055.51.47.029 W004.26.51.788
N055.51.46.813 W004.26.51.423
N055.51.46.414 W004.26.50.455
N055.51.46.226 W004.26.50.038
N055.51.46.055 W004.26.49.576
N055.51.45.892 W004.26.49.086
N055.51.45.771 W004.26.48.596
N055.51.45.748 W004.26.48.374
N055.51.45.800 W004.26.48.050
N055.51.45.877 W004.26.47.683
N055.51.46.029 W004.26.47.169
N055.51.47.124 W004.26.44.505
N055.51.47.954 W004.26.42.869
N055.51.48.089 W004.26.42.621
N055.51.48.239 W004.26.42.447
N055.51.48.388 W004.26.42.391
N055.51.48.538 W004.26.42.364
N055.51.48.719 W004.26.42.457
N055.51.48.949 W004.26.42.801
N055.51.49.456 W004.26.43.594
N055.51.49.653 W004.26.43.835
N055.51.49.843 W004.26.44.001
N055.51.50.058 W004.26.44.109
N055.51.50.256 W004.26.44.157
N055.51.50.521 W004.26.44.177
N055.51.53.576 W004.26.43.017
N055.51.54.299 W004.26.42.618
N055.51.54.514 W004.26.42.741
N055.51.54.504 W004.26.43.006
N055.51.48.983 W004.26.53.231
;B Loop
REGIONNAME Glasgow 
smrSCOGrass N055.52.39.420 W004.25.19.066
N055.52.39.298 W004.25.19.131
