Glasgow N00.00.00.000 W000.00.00.000 N00.00.00.000 W000.00.00.000
N055.51.51.552 W004.25.52.824 N055.51.50.616 W004.25.58.368 Olive
N055.51.50.616 W004.25.58.368 N055.51.51.552 W004.25.58.908 Olive
N055.51.51.552 W004.25.58.908 N055.51.50.904 W004.26.02.832 Olive
N055.51.50.904 W004.26.02.832 N055.51.51.480 W004.26.03.156 Olive
;
;
N055.52.10.344 W004.25.40.836 N055.52.09.660 W004.25.38.424 Olive
N055.52.09.660 W004.25.38.424 N055.52.08.472 W004.25.39.432 Olive
N055.52.08.472 W004.25.39.432 N055.52.09.156 W004.25.41.844 Olive
N055.52.09.156 W004.25.41.844 N055.52.10.344 W004.25.40.836 Olive
;
;
N055.52.09.228 W004.25.36.948 N055.52.08.508 W004.25.34.320 Olive
N055.52.08.508 W004.25.34.320 N055.52.07.644 W004.25.35.040 Olive
N055.52.07.644 W004.25.35.040 N055.52.08.364 W004.25.37.740 Olive
N055.52.08.364 W004.25.37.740 N055.52.09.228 W004.25.36.948 Olive
;Island adj to hold F1
N055.51.48.852 W004.26.53.196 N055.51.48.204 W004.26.53.268 Teal
N055.51.48.204 W004.26.53.268 N055.51.47.772 W004.26.52.872 Teal
N055.51.47.772 W004.26.52.872 N055.51.47.268 W004.26.52.044 Teal
N055.51.47.268 W004.26.52.044 N055.51.45.756 W004.26.49.020 Teal
N055.51.45.756 W004.26.49.020 N055.51.45.684 W004.26.48.516 Teal
N055.51.45.684 W004.26.48.516 N055.51.45.756 W004.26.47.832 Teal
N055.51.45.756 W004.26.47.832 N055.51.48.168 W004.26.42.864 Teal
N055.51.48.168 W004.26.42.864 N055.51.48.636 W004.26.42.720 Teal
N055.51.48.636 W004.26.42.720 N055.51.49.968 W004.26.44.232 Teal
N055.51.49.968 W004.26.44.232 N055.51.50.436 W004.26.44.268 Teal
N055.51.50.436 W004.26.44.268 N055.51.54.252 W004.26.42.936 Teal
N055.51.54.252 W004.26.42.936 N055.51.48.852 W004.26.53.196 Olive
;Island between holds F1 & E1
N055.51.57.096 W004.26.37.752 N055.51.57.636 W004.26.36.096 Teal
N055.51.57.636 W004.26.36.096 N055.51.57.780 W004.26.34.116 Teal
N055.51.57.780 W004.26.34.116 N055.51.57.744 W004.26.29.436 Teal
N055.51.57.744 W004.26.29.436 N055.51.57.600 W004.26.28.824 Teal
N055.51.57.600 W004.26.28.824 N055.51.57.096 W004.26.28.140 Teal
N055.51.57.096 W004.26.28.140 N055.51.56.592 W004.26.27.924 Teal
N055.51.56.592 W004.26.27.924 N055.51.55.944 W004.26.28.212 Teal
N055.51.55.944 W004.26.28.212 N055.51.51.228 W004.26.37.068 Teal
N055.51.51.228 W004.26.37.068 N055.51.49.788 W004.26.40.668 Teal
N055.51.49.788 W004.26.40.668 N055.51.49.788 W004.26.41.496 Teal
N055.51.49.788 W004.26.41.496 N055.51.50.076 W004.26.41.928 Teal
N055.51.50.076 W004.26.41.928 N055.51.50.724 W004.26.42.180 Teal
N055.51.50.724 W004.26.42.180 N055.51.53.208 W004.26.41.352 Teal
N055.51.53.208 W004.26.41.352 N055.51.54.360 W004.26.40.848 Teal
N055.51.54.360 W004.26.40.848 N055.51.55.728 W004.26.39.552 Teal
N055.51.55.728 W004.26.39.552 N055.51.57.096 W004.26.37.752 Teal
;Island between holds E1 & D1
N055.51.59.760 W004.26.32.676 N055.51.59.112 W004.26.32.208 Teal
N055.51.59.112 W004.26.32.208 N055.51.58.680 W004.26.31.308 Teal
N055.51.58.680 W004.26.31.308 N055.51.58.464 W004.26.30.192 Teal
N055.51.58.464 W004.26.30.192 N055.51.58.644 W004.26.26.952 Teal
N055.51.58.644 W004.26.26.952 N055.52.00.012 W004.26.20.868 Teal
N055.52.00.012 W004.26.20.868 N055.52.00.408 W004.26.20.148 Teal
N055.52.00.408 W004.26.20.148 N055.52.00.876 W004.26.19.572 Teal
N055.52.00.876 W004.26.19.572 N055.52.03.000 W004.26.17.484 Teal
N055.52.03.000 W004.26.17.484 N055.52.09.372 W004.26.13.524 Teal
N055.52.09.372 W004.26.13.524 N055.52.09.876 W004.26.13.920 Teal
N055.52.09.876 W004.26.13.920 N055.51.59.760 W004.26.32.676 Olive
;Island between hold D1 & rwy 2
N055.52.12.216 W004.26.09.600 N055.52.09.084 W004.26.12.192 Teal
N055.52.09.084 W004.26.12.192 N055.52.04.080 W004.26.15.396 Teal
N055.52.04.080 W004.26.15.396 N055.52.03.468 W004.26.15.324 Teal
N055.52.03.468 W004.26.15.324 N055.52.03.072 W004.26.14.496 Teal
N055.52.03.072 W004.26.14.496 N055.52.03.072 W004.26.12.876 Teal 
N055.52.03.072 W004.26.12.876 N55.52.05.336 W04.25.59.185 Teal;80's
N55.52.05.336 W04.25.59.185 N55.52.05.433 W04.25.59.045 Teal
N55.52.05.433 W04.25.59.045 N55.52.05.511 W04.25.58.988 Teal
N55.52.05.511 W04.25.58.988 N55.52.09.021 W04.26.00.396 Teal
N55.52.09.021 W04.26.00.396 N55.52.09.114 W04.26.00.322 Teal
N55.52.09.114 W04.26.00.322 N55.52.09.244 W04.26.00.112 Teal
N55.52.09.244 W04.26.00.112 N55.52.09.323 W04.25.59.791 Teal
N55.52.09.323 W04.25.59.791 N55.52.10.435 W04.25.52.905 Teal
N55.52.10.435 W04.25.52.905 N55.52.10.376 W04.25.52.670 Teal
N55.52.10.376 W04.25.52.670 N55.52.10.258 W04.25.52.429 Teal
N55.52.10.258 W04.25.52.429 N55.52.10.139 W04.25.52.270 Teal
N55.52.10.139 W04.25.52.270 N55.52.06.727 W04.25.50.780 Teal
N55.52.06.727 W04.25.50.780 N055.52.07.140 W004.25.48.324 Teal
N055.52.07.140 W004.25.48.324 N055.52.07.500 W004.25.47.424 Teal
N055.52.07.500 W004.25.47.424 N055.52.08.184 W004.25.46.488 Teal
N055.52.08.184 W004.25.46.488 N055.52.12.000 W004.25.43.104 Teal
N055.52.12.000 W004.25.43.104 N055.52.17.472 W004.25.39.720 Teal
N055.52.17.472 W004.25.39.720 N055.52.18.048 W004.25.39.684 Teal
N055.52.18.048 W004.25.39.684 N055.52.18.624 W004.25.40.512 Teal
N055.52.18.624 W004.25.40.512 N055.52.18.588 W004.25.57.432 Olive
N055.52.18.588 W004.25.57.432 N055.52.12.216 W004.26.09.600 Olive
;Island between ho:d Z2 & rwy 10
N055.52.01.380 W004.26.35.520 N055.52.01.524 W004.26.35.988 Teal
N055.52.01.524 W004.26.35.988 N055.52.01.776 W004.26.36.600 Teal
N055.52.01.776 W004.26.36.600 N055.52.03.925 W004.26.40.488 Teal
N055.52.03.925 W004.26.40.488 N055.52.04.350 W004.26.40.916 Teal
N055.52.04.350 W004.26.40.916 N055.52.04.847 W004.26.41.154 Teal
N055.52.04.847 W004.26.41.154 N055.52.05.268 W004.26.41.208 Teal
N055.52.05.268 W004.26.41.208 N055.52.18.059 W004.26.40.726 Teal
N055.52.18.059 W004.26.40.726 N055.52.18.448 W004.26.40.340 Teal
N055.52.18.448 W004.26.40.340 N055.52.18.728 W004.26.39.772 Teal
N055.52.18.728 W004.26.39.772 N055.52.18.703 W004.26.19.486 Olive
N055.52.18.703 W004.26.19.486 N055.52.18.455 W004.26.18.863 Teal
N055.52.18.455 W004.26.18.863 N055.52.18.070 W004.26.18.373 Teal
N055.52.18.070 W004.26.18.373 N055.52.17.256 W004.26.17.765 Teal
N055.52.17.256 W004.26.17.765 N055.52.17.753 W004.26.15.374 Teal
N055.52.17.753 W004.26.15.374 N055.52.18.106 W004.26.15.554 Teal
N055.52.18.106 W004.26.15.554 N055.52.18.494 W004.26.15.421 Teal
N055.52.18.494 W004.26.15.421 N055.52.18.635 W004.26.15.040 Teal
N055.52.18.635 W004.26.15.040 N055.52.18.606 W004.26.03.584 Olive
N055.52.18.606 W004.26.03.584 N055.52.01.380 W004.26.35.520 Olive
;Island between holds A1 & B1
N055.52.39.011 W004.25.19.409 N055.52.38.021 W004.25.17.930 Teal
N055.52.38.021 W004.25.17.930 N055.52.37.560 W004.25.17.627 Teal
N055.52.37.560 W004.25.17.627 N055.52.36.185 W004.25.16.846 Teal
N055.52.36.185 W004.25.16.846 N055.52.35.972 W004.25.16.410 Teal
N055.52.35.972 W004.25.16.410 N055.52.36.080 W004.25.15.593 Teal
N055.52.36.080 W004.25.15.593 N055.52.36.469 W004.25.14.772 Teal
