;Perimeter
REGIONNAME Retford Gamston
smrGPGrass N053.16.21.370 W000.57.16.492
N053.17.03.127 W000.57.47.442
N053.17.02.951 W000.57.47.628
N053.17.02.760 W000.57.47.705
N053.17.02.545 W000.57.47.666
N053.17.02.343 W000.57.47.585
N053.17.02.191 W000.57.47.409
N053.17.02.047 W000.57.47.195
N053.17.01.974 W000.57.46.870
N053.17.02.020 W000.57.45.992
N053.17.01.955 W000.57.45.835
N053.17.01.828 W000.57.45.713
N053.16.59.088 W000.57.45.654
N053.16.58.992 W000.57.45.681
N053.16.58.892 W000.57.45.816
N053.16.58.809 W000.57.46.074
N053.16.58.780 W000.57.46.546
N053.16.58.786 W000.57.46.966
N053.16.58.545 W000.57.58.153
N053.16.58.470 W000.57.58.729
N053.16.58.308 W000.57.59.600
N053.16.58.101 W000.58.00.284
N053.16.57.685 W000.58.01.263
N053.16.56.659 W000.58.03.553
N053.16.41.944 W000.57.43.298
N053.16.39.057 W000.58.08.326
N053.16.39.124 W000.58.08.743
N053.16.39.240 W000.58.09.024
N053.16.39.425 W000.58.09.180
N053.16.55.488 W000.58.04.217
N053.16.55.628 W000.58.04.142
N053.16.55.794 W000.58.04.021
N053.16.55.928 W000.58.03.862
N053.16.56.017 W000.58.03.651
N053.16.56.076 W000.58.03.383
N053.16.56.086 W000.58.03.139
N053.16.56.074 W000.58.02.865
N053.16.56.058 W000.58.02.729
N053.16.56.630 W000.58.03.513
N053.16.56.467 W000.58.03.853
N053.16.56.290 W000.58.04.146
N053.16.56.088 W000.58.04.404
N053.16.55.833 W000.58.04.599
N053.16.55.425 W000.58.04.802
N053.16.54.953 W000.58.04.945
N053.16.48.522 W000.58.06.941
N053.16.48.379 W000.58.07.252
N053.16.48.192 W000.58.07.749
N053.16.48.149 W000.58.08.093
N053.16.48.188 W000.58.08.695
N053.16.48.144 W000.58.09.115
N053.16.48.026 W000.58.09.662
N053.16.47.883 W000.58.10.139
N053.16.47.604 W000.58.10.627
N053.16.47.264 W000.58.10.963
N053.16.46.810 W000.58.11.162
N053.16.46.381 W000.58.11.300
N053.16.46.439 W000.58.11.844
N053.16.44.212 W000.58.12.661
N053.16.44.129 W000.58.11.897
N053.16.43.273 W000.58.12.241
N053.16.43.011 W000.58.12.191
N053.16.42.721 W000.58.12.037
N053.16.42.411 W000.58.11.749
N053.16.42.098 W000.58.11.280
N053.16.41.907 W000.58.10.739
N053.16.41.776 W000.58.09.879
N053.16.41.721 W000.58.09.527
N053.16.41.538 W000.58.09.354
N053.16.41.246 W000.58.09.185
N053.16.40.953 W000.58.09.265
N053.16.39.565 W000.58.09.583
N053.16.37.309 W000.58.08.885
N053.16.36.920 W000.58.08.492
N053.16.36.503 W000.58.07.845
N053.16.36.156 W000.58.07.125
N053.16.35.795 W000.58.06.128
N053.16.34.944 W000.58.03.337
N053.16.34.146 W000.58.00.493
N053.16.23.337 W000.57.23.071
N053.16.23.329 W000.57.22.906
N053.16.23.316 W000.57.22.608
N053.16.23.302 W000.57.22.055
N053.16.23.356 W000.57.21.391
N053.16.23.461 W000.57.20.778
N053.16.23.646 W000.57.20.194
N053.16.24.172 W000.57.19.434
N053.16.24.359 W000.57.19.206
N053.16.25.245 W000.57.18.513
N053.16.37.835 W000.57.08.156


;Grass Island
REGIONNAME Retford Gamston
smrGPGrass N053.16.59.007 W000.57.28.903
N053.16.59.108 W000.57.28.786
N053.16.59.292 W000.57.28.540
N053.16.59.516 W000.57.28.313
N053.16.59.688 W000.57.28.265
N053.17.00.428 W000.57.28.296
N053.17.00.615 W000.57.28.629
N053.17.00.804 W000.57.28.842
N053.17.00.971 W000.57.28.949
N053.17.01.198 W000.57.28.909
N053.17.02.117 W000.57.32.642
N053.17.02.322 W000.57.33.017
N053.17.02.472 W000.57.33.402
N053.17.02.558 W000.57.33.918
N053.17.02.460 W000.57.34.251
N053.17.02.344 W000.57.34.534
N053.17.02.159 W000.57.34.801
N053.17.01.173 W000.57.35.655
N053.17.00.303 W000.57.36.487
N053.17.00.123 W000.57.36.601
N053.16.59.938 W000.57.36.637
N053.16.59.704 W000.57.36.621
N053.16.59.473 W000.57.36.563
N053.16.59.286 W000.57.36.458
N053.16.59.165 W000.57.36.300
N053.16.59.050 W000.57.36.108
N053.16.58.905 W000.57.35.632

;Grass Island
REGIONNAME Retford Gamston
smrGPGrass N053.16.43.199 W000.58.11.423
N053.16.42.929 W000.58.11.338
N053.16.42.668 W000.58.11.108
N053.16.42.493 W000.58.10.810
N053.16.42.370 W000.58.10.479
N053.16.42.308 W000.58.10.126
N053.16.42.327 W000.58.09.722
N053.16.42.409 W000.58.09.376
N053.16.42.522 W000.58.09.054
N053.16.42.701 W000.58.08.802
N053.16.42.961 W000.58.08.654
N053.16.46.321 W000.58.07.674
N053.16.46.703 W000.58.07.548
N053.16.47.006 W000.58.07.514
N053.16.47.249 W000.58.07.629
N053.16.47.420 W000.58.07.873
N053.16.47.550 W000.58.08.239
N053.16.47.623 W000.58.08.683
N053.16.47.629 W000.58.09.085
N053.16.47.552 W000.58.09.454
N053.16.47.434 W000.58.09.792
N053.16.47.271 W000.58.10.075
N053.16.47.099 W000.58.10.238
N053.16.46.297 W000.58.10.473
N053.16.46.202 W000.58.09.889
N053.16.43.902 W000.58.10.620
N053.16.43.991 W000.58.11.251
N053.16.43.445 W000.58.11.396
;Taxiway A
REGIONNAME Retford Gamston
smrMDGreyLight N053.16.41.029 W000.57.39.619
N053.16.41.232 W000.57.39.602
N053.16.41.385 W000.57.39.534
N053.16.41.556 W000.57.39.411
N053.16.41.710 W000.57.39.239
N053.16.41.839 W000.57.39.041
N053.16.41.970 W000.57.38.769
N053.16.42.047 W000.57.38.562
N053.16.42.104 W000.57.38.348
N053.16.42.208 W000.57.37.649
N053.16.41.402 W000.57.36.254
N053.16.42.034 W000.57.30.951
N053.16.43.058 W000.57.30.243
N053.16.45.162 W000.57.12.674
N053.16.44.970 W000.57.12.608
N053.16.45.197 W000.57.10.740
N053.16.44.497 W000.57.11.148
N053.16.44.396 W000.57.10.868
N053.16.45.264 W000.57.10.183
N053.16.44.794 W000.57.07.609
N053.16.44.947 W000.57.06.531
N053.16.46.623 W000.57.05.150
N053.16.46.554 W000.57.05.794
N053.16.46.547 W000.57.06.307
N053.16.46.089 W000.57.09.540
N053.16.45.709 W000.57.12.856
N053.16.45.498 W000.57.12.791
N053.16.42.172 W000.57.40.653
N053.16.42.161 W000.57.40.867
N053.16.42.174 W000.57.41.043
N053.16.42.204 W000.57.41.285
N053.16.42.281 W000.57.41.652
N053.16.40.755 W000.57.39.598

;Taxiway B
REGIONNAME Retford Gamston
smrMDGreyLight N053.16.55.545 W000.56.54.827
N053.16.55.328 W000.56.54.633
N053.16.55.112 W000.56.54.489
N053.16.54.924 W000.56.54.459
N053.16.52.716 W000.56.56.247
N053.16.52.504 W000.56.55.505
N053.16.54.631 W000.56.53.751
N053.16.54.872 W000.56.53.641
N053.16.55.017 W000.56.53.638
N053.16.55.158 W000.56.53.636
N053.16.55.332 W000.56.53.700
N053.16.55.484 W000.56.53.775
N053.16.55.646 W000.56.53.907
N053.16.55.807 W000.56.54.088
N053.16.55.941 W000.56.54.255
N053.16.56.062 W000.56.54.494
N053.16.57.195 W000.56.58.604
N053.16.56.741 W000.56.58.963
N053.16.56.344 W000.56.57.455
N053.16.55.727 W000.56.55.169

;Taxiway
REGIONNAME Retford Gamston
smrMDGreyLight N053.16.47.656 W000.57.01.283
N053.16.47.829 W000.57.01.260
N053.16.52.219 W000.56.57.711
N053.16.52.244 W000.56.57.256
N053.16.52.117 W000.56.56.765
N053.16.52.310 W000.56.56.600
N053.16.52.588 W000.56.57.467
N053.16.52.775 W000.56.57.309
N053.16.52.867 W000.56.57.649
N053.16.51.843 W000.56.58.505
N053.16.51.947 W000.56.58.761
N053.16.51.752 W000.56.58.941
N053.16.51.653 W000.56.58.624
N053.16.47.906 W000.57.01.633
N053.16.47.757 W000.57.01.701
N053.16.47.561 W000.57.01.725
N053.16.47.067 W000.57.01.665
N053.16.47.109 W000.57.01.245

;Runway 03-21
REGIONNAME Retford Gamston
smrGrey N053.16.28.798 W000.57.22.431
N053.16.28.393 W000.57.20.963
N053.17.12.278 W000.56.46.884
N053.17.12.675 W000.56.48.346
N053.17.08.260 W000.56.51.808

;Runway 14-32
REGIONNAME Retford Gamston
smrGrey N053.16.56.727 W000.58.02.482
N053.16.34.141 W000.57.31.846
N053.16.34.478 W000.57.31.119
N053.16.57.088 W000.58.01.672

;Apron
REGIONNAME Retford Gamston
smrGDapron N053.16.47.411 W000.57.00.616
N053.16.47.553 W000.57.01.132
N053.16.47.634 W000.57.01.285
N053.16.47.105 W000.57.01.236
N053.16.47.056 W000.57.01.670
N053.16.46.614 W000.57.05.176
N053.16.44.948 W000.57.06.541
N053.16.44.081 W000.57.03.402
N053.16.38.275 W000.57.08.261
N053.16.37.807 W000.57.06.740
N053.16.37.444 W000.57.05.703
N053.16.43.515 W000.57.00.481
N053.16.43.850 W000.57.01.770
N053.16.45.482 W000.57.00.270
N053.16.45.083 W000.56.58.962
N053.16.50.284 W000.56.54.684
N053.16.50.630 W000.56.56.007
N053.16.51.771 W000.56.55.061
N053.16.51.865 W000.56.55.277
N053.16.52.027 W000.56.55.422
N053.16.52.208 W000.56.55.518
N053.16.52.433 W000.56.55.533
N053.16.52.504 W000.56.55.513
N053.16.52.717 W000.56.56.248

;Building 1
REGIONNAME Retford Gamston 
smrMilBuilding N053.16.45.140 W000.56.58.955
N053.16.50.274 W000.56.54.749
N053.16.50.639 W000.56.56.041
N053.16.45.519 W000.57.00.231

;Building 2
REGIONNAME Retford Gamston 
smrMilBuilding N053.16.50.946 W000.56.54.463
N053.16.50.401 W000.56.54.878
N053.16.50.351 W000.56.54.694
N053.16.50.880 W000.56.54.263

;Building 3
REGIONNAME Retford Gamston 
smrMilBuilding N053.16.50.904 W000.56.54.897
N053.16.50.561 W000.56.55.180
N053.16.50.510 W000.56.55.016
N053.16.50.856 W000.56.54.730

;Building 4
REGIONNAME Retford Gamston 
smrMilBuilding N053.16.50.565 W000.56.55.337
N053.16.51.094 W000.56.54.897
N053.16.51.157 W000.56.55.099
N053.16.50.632 W000.56.55.536

;Building 5
REGIONNAME Retford Gamston 
smrMilBuilding N053.16.51.172 W000.56.55.282
N053.16.51.229 W000.56.55.464
N053.16.50.697 W000.56.55.898
N053.16.50.639 W000.56.55.718

;Building 6
REGIONNAME Retford Gamston 
smrMilBuilding N053.16.44.272 W000.57.00.449
N053.16.44.383 W000.57.00.779
N053.16.43.817 W000.57.01.272
N053.16.43.581 W000.57.00.543
N053.16.43.758 W000.57.00.398
N053.16.43.902 W000.57.00.770

;Building 7
REGIONNAME Retford Gamston 
smrMilBuilding N053.16.45.164 W000.57.00.232
N053.16.45.243 W000.57.00.174
N053.16.45.166 W000.56.59.928
N053.16.45.322 W000.56.59.786
N053.16.45.457 W000.57.00.164
N053.16.45.294 W000.57.00.313
N053.16.45.399 W000.57.00.620
N053.16.45.037 W000.57.00.971
N053.16.44.834 W000.57.00.301
N053.16.45.112 W000.57.00.083

;Building 8
REGIONNAME Retford Gamston 
smrMilBuilding N053.16.37.715 W000.57.05.520
N053.16.43.511 W000.57.00.468
N053.16.43.866 W000.57.01.855
N053.16.38.069 W000.57.06.743
