EGLL Heathrow SMAA          S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N051.20.49.000 W000.08.40.000 N051.24.26.000 W000.10.26.000
                            N051.24.26.000 W000.10.26.000 N051.30.22.000 W000.10.00.000

                            N051.20.49.000 W000.08.40.000 N051.22.25.000 E000.03.02.000
                            N051.22.25.000 E000.03.02.000 N051.12.52.000 W000.00.25.000
                            N051.12.52.000 W000.00.25.000 N051.12.51.913 W000.00.38.441
                            N051.12.51.913 W000.00.38.441 N051.12.54.646 W000.01.11.627
                            N051.12.54.646 W000.01.11.627 N051.12.59.178 W000.01.44.306
                            N051.12.59.178 W000.01.44.306 N051.13.05.474 W000.02.16.230
                            N051.13.05.474 W000.02.16.230 N051.13.13.486 W000.02.47.155
                            N051.13.13.486 W000.02.47.155 N051.13.23.154 W000.03.16.845
                            N051.13.23.154 W000.03.16.845 N051.13.34.404 W000.03.45.076
                            N051.13.34.404 W000.03.45.076 N051.13.47.149 W000.04.11.632
                            N051.13.47.149 W000.04.11.632 N051.14.01.294 W000.04.36.310
                            N051.14.01.294 W000.04.36.310 N051.14.16.731 W000.04.58.924
                            N051.14.16.731 W000.04.58.924 N051.14.33.342 W000.05.19.301
                            N051.14.33.342 W000.05.19.301 N051.14.51.000 W000.05.37.286
                            N051.14.51.000 W000.05.37.286 N051.15.09.572 W000.05.52.742
                            N051.15.09.572 W000.05.52.742 N051.15.28.915 W000.06.05.551
                            N051.15.28.915 W000.06.05.551 N051.15.48.000 W000.06.13.000
                            N051.15.48.000 W000.06.13.000 N051.20.49.000 W000.08.40.000

                            N051.34.19.000 W000.15.42.000 N051.34.15.944 W000.14.51.802
                            N051.34.15.944 W000.14.51.802 N051.34.07.829 W000.14.03.133
                            N051.34.07.829 W000.14.03.133 N051.33.54.579 W000.13.17.477
                            N051.33.54.579 W000.13.17.477 N051.33.36.599 W000.12.36.225
                            N051.33.36.599 W000.12.36.225 N051.33.14.435 W000.12.00.632
                            N051.33.14.435 W000.12.00.632 N051.32.48.763 W000.11.31.779
                            N051.32.48.763 W000.11.31.779 N051.32.20.365 W000.11.10.542
                            N051.32.20.365 W000.11.10.542 N051.31.50.103 W000.10.57.561
                            N051.31.50.103 W000.10.57.561 N051.31.18.899 W000.10.53.228
                            N051.31.18.899 W000.10.53.228 N051.30.47.702 W000.10.57.670
                            N051.30.47.702 W000.10.57.670 N051.30.17.457 W000.11.10.745
                            N051.30.17.457 W000.11.10.745 N051.29.49.853 W000.11.32.540
                            N051.29.49.853 W000.11.32.540 N051.29.23.445 W000.12.00.944
                            N051.29.23.445 W000.12.00.944 N051.29.01.316 W000.12.36.537
                            N051.29.01.316 W000.12.36.537 N051.28.43.367 W000.13.17.751
                            N051.28.43.367 W000.13.17.751 N051.28.30.144 W000.14.03.336
                            N051.28.30.144 W000.14.03.336 N051.28.22.466 W000.14.51.910
                            N051.28.22.466 W000.14.51.910 N051.28.19.319 W000.15.42.120
                            N051.28.19.319 W000.15.42.120 N051.28.22.466 W000.16.32.919
                            N051.28.22.466 W000.16.32.919 N051.28.30.144 W000.17.20.665
                            N051.28.30.144 W000.17.20.665 N051.28.43.367 W000.18.06.250
                            N051.28.43.367 W000.18.06.250 N051.29.01.316 W000.18.47.464
                            N051.29.01.316 W000.18.47.464 N051.29.23.445 W000.19.23.579
                            N051.29.23.445 W000.19.23.579 N051.29.49.853 W000.19.51.948
                            N051.29.49.853 W000.19.51.948 N051.30.17.457 W000.20.13.256
                            N051.30.17.457 W000.20.13.256 N051.30.47.702 W000.20.26.332
                            N051.30.47.702 W000.20.26.332 N051.31.18.899 W000.20.30.773
                            N051.31.18.899 W000.20.30.773 N051.31.50.103 W000.20.26.440
                            N051.31.50.103 W000.20.26.440 N051.32.20.365 W000.20.13.460
                            N051.32.20.365 W000.20.13.460 N051.32.48.763 W000.19.52.222
                            N051.32.48.763 W000.19.52.222 N051.33.14.435 W000.19.23.369
                            N051.33.14.435 W000.19.23.369 N051.33.36.599 W000.18.47.776
                            N051.33.36.599 W000.18.47.776 N051.33.54.579 W000.18.06.524
                            N051.33.54.579 W000.18.06.524 N051.34.07.829 W000.17.20.869
                            N051.34.07.829 W000.17.20.869 N051.34.15.944 W000.16.32.200
                            N051.34.15.944 W000.16.32.200 N051.34.19.000 W000.15.42.000
