Coastline (Low Detail) S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000 geoDefault
; NOAA object 1
N053.36.06.174 E000.08.52.264 N053.35.40.823 E000.15.29.347 geoDefault
N053.35.40.823 E000.15.29.347 N053.36.06.174 E000.16.11.590 geoDefault
N053.36.06.174 E000.16.11.590 N053.46.22.919 E000.13.31.066 geoDefault
N053.46.22.919 E000.13.31.066 N053.50.11.037 E000.05.37.943 geoDefault
; NOAA object 31
N049.56.34.789 E001.14.20.864 N050.03.28.781 E001.28.59.520 geoDefault
N050.03.28.781 E001.28.59.520 N050.12.21.042 E001.42.55.930 geoDefault
N050.12.21.042 E001.42.55.930 N050.16.59.847 E001.44.11.969 geoDefault
N050.16.59.847 E001.44.11.969 N050.19.57.263 E001.39.33.163 geoDefault
N050.19.57.263 E001.39.33.163 N050.30.30.913 E001.41.31.445 geoDefault
N050.30.30.913 E001.41.31.445 N050.41.04.549 E001.43.29.726 geoDefault
N050.41.04.549 E001.43.29.726 N050.53.37.758 E001.50.35.444 geoDefault
; NOAA object 32
N062.03.51.853 W007.04.57.893 N062.03.51.853 W007.04.24.099 geoDefault
N062.03.51.853 W007.04.24.099 N062.05.24.783 W007.09.11.351 geoDefault
N062.05.24.783 W007.09.11.351 N062.05.58.580 W007.17.38.270 geoDefault
N062.05.58.580 W007.17.38.270 N062.06.57.714 W007.24.57.596 geoDefault
N062.06.57.714 W007.24.57.596 N062.05.24.783 W007.27.29.671 geoDefault
N062.05.24.783 W007.27.29.671 N062.03.34.948 W007.24.23.803 geoDefault
N062.03.34.948 W007.24.23.803 N062.02.35.814 W007.17.04.473 geoDefault
N062.02.35.814 W007.17.04.473 N062.02.35.814 W007.09.45.147 geoDefault
N062.02.35.814 W007.09.45.147 N062.03.51.853 W007.04.57.893 geoDefault
; NOAA object 33
N061.57.40.103 W006.46.31.126 N061.57.23.211 W006.45.06.642 geoDefault
N061.57.23.211 W006.45.06.642 N061.58.30.805 W006.45.06.642 geoDefault
N061.58.30.805 W006.45.06.642 N062.02.02.017 W006.45.40.435 geoDefault
N062.02.02.017 W006.45.40.435 N062.06.40.822 W006.49.36.995 geoDefault
N062.06.40.822 W006.49.36.995 N062.10.20.480 W006.54.58.042 geoDefault
N062.10.20.480 W006.54.58.042 N062.13.09.450 W006.59.45.297 geoDefault
N062.13.09.450 W006.59.45.297 N062.16.15.325 W007.07.04.623 geoDefault
N062.16.15.325 W007.07.04.623 N062.16.49.122 W007.11.01.183 geoDefault
N062.16.49.122 W007.11.01.183 N062.13.26.355 W007.13.33.258 geoDefault
N062.13.26.355 W007.13.33.258 N062.11.19.628 W007.15.31.539 geoDefault
N062.11.19.628 W007.15.31.539 N062.09.04.441 W007.14.57.746 geoDefault
N062.09.04.441 W007.14.57.746 N062.07.31.511 W007.09.36.698 geoDefault
N062.07.31.511 W007.09.36.698 N062.06.23.917 W007.02.51.165 geoDefault
N062.06.23.917 W007.02.51.165 N062.03.51.853 W006.57.47.016 geoDefault
N062.03.51.853 W006.57.47.016 N062.02.18.908 W006.53.50.453 geoDefault
N062.02.18.908 W006.53.50.453 N062.00.45.978 W006.53.50.453 geoDefault
N062.00.45.978 W006.53.50.453 N061.58.13.900 W006.53.50.453 geoDefault
N061.58.13.900 W006.53.50.453 N061.56.57.860 W006.52.25.968 geoDefault
N061.56.57.860 W006.52.25.968 N061.57.40.103 W006.49.03.201 geoDefault
N061.57.40.103 W006.49.03.201 N061.57.40.103 W006.46.31.126 geoDefault
; NOAA object 34
N062.03.18.056 W006.39.54.043 N062.03.51.853 W006.37.21.968 geoDefault
N062.03.51.853 W006.37.21.968 N062.04.08.744 W006.35.23.686 geoDefault
N062.04.08.744 W006.35.23.686 N062.05.58.580 W006.35.57.480 geoDefault
N062.05.58.580 W006.35.57.480 N062.08.13.753 W006.38.46.453 geoDefault
N062.08.13.753 W006.38.46.453 N062.11.02.723 W006.43.16.809 geoDefault
N062.11.02.723 W006.43.16.809 N062.13.09.450 W006.45.15.091 geoDefault
N062.13.09.450 W006.45.15.091 N062.14.25.489 W006.50.36.135 geoDefault
N062.14.25.489 W006.50.36.135 N062.17.06.013 W006.53.58.902 geoDefault
N062.17.06.013 W006.53.58.902 N062.18.05.161 W006.56.30.977 geoDefault
N062.18.05.161 W006.56.30.977 N062.17.22.918 W007.00.27.540 geoDefault
N062.17.22.918 W007.00.27.540 N062.13.09.450 W006.57.55.465 geoDefault
N062.13.09.450 W006.57.55.465 N062.10.20.480 W006.52.00.624 geoDefault
N062.10.20.480 W006.52.00.624 N062.07.14.619 W006.47.47.166 geoDefault
N062.07.14.619 W006.47.47.166 N062.04.08.744 W006.45.15.091 geoDefault
N062.04.08.744 W006.45.15.091 N062.03.34.948 W006.43.16.809 geoDefault
N062.03.34.948 W006.43.16.809 N062.03.18.056 W006.39.54.043 geoDefault
; NOAA object 35
N062.15.58.434 W006.27.22.114 N062.16.32.216 W006.25.23.836 geoDefault
N062.16.32.216 W006.25.23.836 N062.16.49.122 W006.29.20.396 geoDefault
N062.16.49.122 W006.29.20.396 N062.17.22.918 W006.33.50.752 geoDefault
N062.17.22.918 W006.33.50.752 N062.17.48.256 W006.39.45.594 geoDefault
N062.17.48.256 W006.39.45.594 N062.15.16.177 W006.40.36.285 geoDefault
N062.15.16.177 W006.40.36.285 N062.12.10.316 W006.37.47.312 geoDefault
N062.12.10.316 W006.37.47.312 N062.10.20.480 W006.33.16.959 geoDefault
N062.10.20.480 W006.33.16.959 N062.11.02.723 W006.29.20.396 geoDefault
N062.11.02.723 W006.29.20.396 N062.12.10.316 W006.28.29.704 geoDefault
N062.12.10.316 W006.28.29.704 N062.14.25.489 W006.28.29.704 geoDefault
N062.14.25.489 W006.28.29.704 N062.15.58.434 W006.27.22.114 geoDefault
; NOAA object 36
N061.45.25.076 W006.36.31.276 N061.49.13.194 W006.35.57.480 geoDefault
N061.49.13.194 W006.35.57.480 N061.52.02.163 W006.37.21.968 geoDefault
N061.52.02.163 W006.37.21.968 N061.53.01.311 W006.45.15.091 geoDefault
N061.53.01.311 W006.45.15.091 N061.51.45.272 W006.49.45.444 geoDefault
N061.51.45.272 W006.49.45.444 N061.49.30.085 W006.49.45.444 geoDefault
N061.49.30.085 W006.49.45.444 N061.48.39.397 W006.45.48.884 geoDefault
N061.48.39.397 W006.45.48.884 N061.48.39.397 W006.45.48.884 geoDefault
N061.48.39.397 W006.45.48.884 N061.46.41.115 W006.43.50.602 geoDefault
N061.46.41.115 W006.43.50.602 N061.45.08.185 W006.41.18.528 geoDefault
N061.45.08.185 W006.41.18.528 N061.44.34.388 W006.37.55.761 geoDefault
N061.44.34.388 W006.37.55.761 N061.45.25.076 W006.36.31.276 geoDefault
; NOAA object 37
N061.36.58.167 W006.53.50.453 N061.38.56.449 W006.54.58.042 geoDefault
N061.38.56.449 W006.54.58.042 N061.38.31.098 W006.54.58.042 geoDefault
N061.38.31.098 W006.54.58.042 N061.35.42.128 W006.56.22.527 geoDefault
N061.35.42.128 W006.56.22.527 N061.32.53.158 W006.55.48.734 geoDefault
N061.32.53.158 W006.55.48.734 N061.27.32.110 W006.54.24.249 geoDefault
N061.27.32.110 W006.54.24.249 N061.24.26.235 W006.51.01.483 geoDefault
N061.24.26.235 W006.51.01.483 N061.23.43.993 W006.47.38.716 geoDefault
N061.23.43.993 W006.47.38.716 N061.25.00.032 W006.45.06.642 geoDefault
N061.25.00.032 W006.45.06.642 N061.28.14.353 W006.44.32.845 geoDefault
N061.28.14.353 W006.44.32.845 N061.31.20.214 W006.45.40.435 geoDefault
N061.31.20.214 W006.45.40.435 N061.34.51.440 W006.49.36.995 geoDefault
N061.34.51.440 W006.49.36.995 N061.36.58.167 W006.53.50.453 geoDefault
; NOAA object 38
N060.38.15.099 W001.14.20.864 N060.38.48.882 W001.15.45.349 geoDefault
N060.38.48.882 W001.15.45.349 N060.38.31.990 W001.15.45.349 geoDefault
N060.38.31.990 W001.15.45.349 N060.37.32.856 W001.17.01.388 geoDefault
N060.37.32.856 W001.17.01.388 N060.35.34.575 W001.18.59.670 geoDefault
N060.35.34.575 W001.18.59.670 N060.33.02.497 W001.25.36.753 geoDefault
N060.33.02.497 W001.25.36.753 N060.30.47.324 W001.28.17.277 geoDefault
N060.30.47.324 W001.28.17.277 N060.28.32.137 W001.25.36.753 geoDefault
N060.28.32.137 W001.25.36.753 N060.24.10.237 W001.24.20.714 geoDefault
N060.24.10.237 W001.24.20.714 N060.20.39.024 W001.20.57.948 geoDefault
N060.20.39.024 W001.20.57.948 N060.18.23.838 W001.25.02.957 geoDefault
N060.18.23.838 W001.25.02.957 N060.15.01.071 W001.32.56.080 geoDefault
N060.15.01.071 W001.32.56.080 N060.11.46.750 W001.30.15.556 geoDefault
N060.11.46.750 W001.30.15.556 N060.10.05.374 W001.24.20.714 geoDefault
N060.10.05.374 W001.24.20.714 N060.13.28.141 W001.17.01.388 geoDefault
N060.13.28.141 W001.17.01.388 N060.10.47.617 W001.14.20.864 geoDefault
N060.10.47.617 W001.14.20.864 N060.05.35.014 W001.14.20.864 geoDefault
N060.05.35.014 W001.14.20.864 N060.00.13.966 W001.16.27.592 geoDefault
; NOAA object 39
N059.58.57.927 W001.09.50.508 N060.01.13.114 W001.05.11.706 geoDefault
N060.01.13.114 W001.05.11.706 N060.05.51.920 W001.05.11.706 geoDefault
N060.05.51.920 W001.05.11.706 N060.08.49.335 W001.04.29.460 geoDefault
N060.08.49.335 W001.04.29.460 N060.10.47.617 W001.03.13.425 geoDefault
N060.10.47.617 W001.03.13.425 N060.13.28.141 W001.03.47.217 geoDefault
N060.13.28.141 W001.03.47.217 N060.16.25.556 W001.04.29.460 geoDefault
N060.16.25.556 W001.04.29.460 N060.17.58.500 W001.03.13.425 geoDefault
N060.17.58.500 W001.03.13.425 N060.19.39.877 W001.03.13.425 geoDefault
N060.19.39.877 W001.03.13.425 N060.22.37.292 W001.03.13.425 geoDefault
N060.22.37.292 W001.03.13.425 N060.25.09.370 W001.01.48.940 geoDefault
N060.25.09.370 W001.01.48.940 N060.26.08.518 W001.03.47.217 geoDefault
N060.26.08.518 W001.03.47.217 N060.27.07.652 W001.09.50.508 geoDefault
N060.27.07.652 W001.09.50.508 N060.28.32.137 W001.13.04.825 geoDefault
N060.28.32.137 W001.13.04.825 N060.31.21.107 W001.13.04.825 geoDefault
N060.31.21.107 W001.13.04.825 N060.35.34.575 W001.14.20.864 geoDefault
N060.35.34.575 W001.14.20.864 N060.38.15.099 W001.14.20.864 geoDefault

; Isles of Scilly - St Mary's
N049.54.53.413 W006.18.58.367 N049.55.03.973 W006.18.54.144 geoDefault
N049.55.03.973 W006.18.54.144 N049.55.02.916 W006.18.43.582 geoDefault
N049.55.02.916 W006.18.43.582 N049.55.17.706 W006.18.43.582 geoDefault
N049.55.17.706 W006.18.43.582 N049.55.35.655 W006.18.58.367 geoDefault
N049.55.35.655 W006.18.58.367 N049.56.04.165 W006.18.39.359 geoDefault
N049.56.04.165 W006.18.39.359 N049.56.13.668 W006.17.57.117 geoDefault
N049.56.13.668 W006.17.57.117 N049.56.04.165 W006.17.32.827 geoDefault
N049.56.04.165 W006.17.32.827 N049.55.53.604 W006.17.25.433 geoDefault
N049.55.53.604 W006.17.25.433 N049.55.48.331 W006.17.01.143 geoDefault
N049.55.48.331 W006.17.01.143 N049.55.35.655 W006.17.01.143 geoDefault
N049.55.35.655 W006.17.01.143 N049.55.15.591 W006.16.41.078 geoDefault
N049.55.15.591 W006.16.41.078 N049.54.52.355 W006.16.56.920 geoDefault
N049.54.52.355 W006.16.56.920 N049.54.58.686 W006.17.18.041 geoDefault
N049.54.58.686 W006.17.18.041 N049.54.37.565 W006.17.18.041 geoDefault
N049.54.37.565 W006.17.18.041 N049.54.31.234 W006.18.11.902 geoDefault
N049.54.31.234 W006.18.11.902 N049.54.13.285 W006.18.11.902 geoDefault
N049.54.13.285 W006.18.11.902 N049.54.07.998 W006.18.29.854 geoDefault
N049.54.07.998 W006.18.29.854 N049.54.15.400 W006.18.37.246 geoDefault
N049.54.15.400 W006.18.37.246 N049.54.48.126 W006.18.53.089 geoDefault
N049.54.48.126 W006.18.53.089 N049.54.53.413 W006.18.58.367 geoDefault

; Isles of Scilly - St Martin's
N049.57.47.670 W006.18.28.797 N049.58.10.892 W006.18.21.405 geoDefault
N049.58.10.892 W006.18.21.405 N049.58.10.892 W006.18.05.566 geoDefault
N049.58.10.892 W006.18.05.566 N049.58.25.682 W006.17.57.117 geoDefault
N049.58.25.682 W006.17.57.117 N049.58.20.409 W006.17.40.218 geoDefault
N049.58.20.409 W006.17.40.218 N049.57.55.058 W006.17.27.546 geoDefault
N049.57.55.058 W006.17.27.546 N049.57.58.217 W006.17.03.256 geoDefault
N049.57.58.217 W006.17.03.256 N049.57.49.771 W006.16.48.471 geoDefault
N049.57.49.771 W006.16.48.471 N049.58.01.389 W006.16.35.799 geoDefault
N049.58.01.389 W006.16.35.799 N049.57.49.771 W006.16.24.183 geoDefault
N049.57.49.771 W006.16.24.183 N049.57.57.173 W006.16.19.956 geoDefault
N049.57.57.173 W006.16.19.956 N049.57.58.217 W006.15.59.893 geoDefault
N049.57.58.217 W006.15.59.893 N049.57.40.268 W006.15.53.553 geoDefault
N049.57.40.268 W006.15.53.553 N049.57.28.650 W006.16.24.183 geoDefault
N049.57.28.650 W006.16.24.183 N049.57.28.650 W006.16.50.584 geoDefault
N049.57.28.650 W006.16.50.584 N049.57.15.974 W006.17.06.425 geoDefault
N049.57.15.974 W006.17.06.425 N049.57.46.612 W006.17.57.117 geoDefault
N049.57.46.612 W006.17.57.117 N049.57.46.612 W006.18.26.687 geoDefault
N049.57.46.612 W006.18.26.687 N049.57.47.670 W006.18.28.797 geoDefault

; Isles of Scilly - Tresco
N049.57.44.497 W006.21.16.714 N049.57.54.001 W006.21.16.714 geoDefault
N049.57.54.001 W006.21.16.714 N049.58.04.561 W006.20.59.816 geoDefault
N049.58.04.561 W006.20.59.816 N049.58.01.389 W006.20.38.695 geoDefault
N049.58.01.389 W006.20.38.695 N049.57.46.612 W006.20.33.414 geoDefault
N049.57.46.612 W006.20.33.414 N049.57.49.771 W006.20.12.293 geoDefault
N049.57.49.771 W006.20.12.293 N049.57.31.822 W006.20.02.788 geoDefault
N049.57.31.822 W006.20.02.788 N049.57.33.937 W006.19.42.723 geoDefault
N049.57.33.937 W006.19.42.723 N049.57.25.491 W006.19.33.218 geoDefault
N049.57.25.491 W006.19.33.218 N049.56.39.019 W006.19.22.659 geoDefault
N049.56.39.019 W006.19.22.659 N049.56.31.631 W006.19.54.339 geoDefault
N049.56.31.631 W006.19.54.339 N049.56.15.783 W006.20.12.293 geoDefault
N049.56.15.783 W006.20.12.293 N049.56.35.847 W006.20.19.687 geoDefault
N049.56.35.847 W006.20.19.687 N049.56.43.249 W006.20.30.246 geoDefault
N049.56.43.249 W006.20.30.246 N049.56.47.465 W006.20.34.472 geoDefault
N049.56.47.465 W006.20.34.472 N049.57.03.312 W006.20.28.136 geoDefault
N049.57.03.312 W006.20.28.136 N049.57.18.089 W006.20.31.305 geoDefault
N049.57.18.089 W006.20.31.305 N049.57.25.491 W006.20.54.536 geoDefault
N049.57.25.491 W006.20.54.536 N049.57.43.440 W006.21.15.657 geoDefault
N049.57.43.440 W006.21.15.657 N049.57.44.497 W006.21.16.714 geoDefault

; Isles of Scilly - Bryher
N049.57.00.140 W006.18.10.843 N049.57.04.370 W006.18.06.620 geoDefault
N049.57.04.370 W006.18.06.620 N049.57.04.370 W006.18.00.284 geoDefault
N049.57.04.370 W006.18.00.284 N049.57.00.140 W006.17.55.004 geoDefault
N049.57.00.140 W006.17.55.004 N049.56.55.910 W006.17.57.117 geoDefault
N049.56.55.910 W006.17.57.117 N049.56.55.910 W006.18.05.566 geoDefault
N049.56.55.910 W006.18.05.566 N049.57.00.140 W006.18.10.843 geoDefault

; Isles of Scilly - St Agnes
N049.53.15.195 W006.21.28.332 N049.53.26.813 W006.21.26.219 geoDefault
N049.53.26.813 W006.21.26.219 N049.53.34.201 W006.21.11.434 geoDefault
N049.53.34.201 W006.21.11.434 N049.53.44.762 W006.21.16.714 geoDefault
N049.53.44.762 W006.21.16.714 N049.53.52.164 W006.21.09.321 geoDefault
N049.53.52.164 W006.21.09.321 N049.53.43.705 W006.20.54.536 geoDefault
N049.53.43.705 W006.20.54.536 N049.53.46.877 W006.20.33.414 geoDefault
N049.53.46.877 W006.20.33.414 N049.53.36.316 W006.20.24.965 geoDefault
N049.53.36.316 W006.20.24.965 N049.53.26.813 W006.20.31.305 geoDefault
N049.53.26.813 W006.20.31.305 N049.53.07.807 W006.20.20.742 geoDefault
N049.53.07.807 W006.20.20.742 N049.52.55.131 W006.20.36.582 geoDefault
N049.52.55.131 W006.20.36.582 N049.52.55.131 W006.20.45.031 geoDefault
N049.52.55.131 W006.20.45.031 N049.53.22.583 W006.20.57.703 geoDefault
N049.53.22.583 W006.20.57.703 N049.53.09.922 W006.21.15.657 geoDefault
N049.53.09.922 W006.21.15.657 N049.53.13.080 W006.21.27.273 geoDefault
N049.53.13.080 W006.21.27.273 N049.53.15.195 W006.21.28.332 geoDefault
