;CRYSTAL PALACE AND WROTHAM MASTS
(LFP307)   N049.28.50.389 E000.20.30.528 N049.28.41.868 E000.20.29.873
(LFP307)   N049.28.41.868 E000.20.29.873 N049.28.33.416 E000.20.28.078
(LFP307)   N049.28.33.416 E000.20.28.078 N049.28.25.098 E000.20.25.156
(LFP307)   N049.28.25.098 E000.20.25.156 N049.28.16.977 E000.20.21.129
(LFP307)   N049.28.16.977 E000.20.21.129 N049.28.09.115 E000.20.16.028
(LFP307)   N049.28.09.115 E000.20.16.028 N049.28.01.572 E000.20.09.892
(LFP307)   N049.28.01.572 E000.20.09.892 N049.27.54.405 E000.20.02.767
(LFP307)   N049.27.54.405 E000.20.02.767 N049.27.47.668 E000.19.54.708
(LFP307)   N049.27.47.668 E000.19.54.708 N049.27.41.414 E000.19.45.776
(LFP307)   N049.27.41.414 E000.19.45.776 N049.27.35.689 E000.19.36.039
(LFP307)   N049.27.35.689 E000.19.36.039 N049.27.30.538 E000.19.25.571
(LFP307)   N049.27.30.538 E000.19.25.571 N049.27.25.998 E000.19.14.451
(LFP307)   N049.27.25.998 E000.19.14.451 N049.27.22.106 E000.19.02.765
(LFP307)   N049.27.22.106 E000.19.02.765 N049.27.18.890 E000.18.50.602
(LFP307)   N049.27.18.890 E000.18.50.602 N049.27.16.375 E000.18.38.053
(LFP307)   N049.27.16.375 E000.18.38.053 N049.27.14.581 E000.18.25.215
(LFP307)   N049.27.14.581 E000.18.25.215 N049.27.13.520 E000.18.12.185
(LFP307)   N049.27.13.520 E000.18.12.185 N049.27.13.201 E000.17.59.062
(LFP307)   N049.27.13.201 E000.17.59.062 N049.27.14.000 E000.17.44.002
(LFP307)   N049.27.14.000 E000.17.44.002 N049.27.36.000 E000.12.04.000
(LFP307)   N049.27.36.000 E000.12.04.000 N049.27.37.034 E000.11.50.974
(LFP307)   N049.27.37.034 E000.11.50.974 N049.27.39.042 E000.11.38.209
(LFP307)   N049.27.39.042 E000.11.38.209 N049.27.41.766 E000.11.25.763
(LFP307)   N049.27.41.766 E000.11.25.763 N049.27.45.184 E000.11.13.729
(LFP307)   N049.27.45.184 E000.11.13.729 N049.27.49.270 E000.11.02.200
(LFP307)   N049.27.49.270 E000.11.02.200 N049.27.53.994 E000.10.51.262
(LFP307)   N049.27.53.994 E000.10.51.262 N049.27.59.319 E000.10.41.001
(LFP307)   N049.27.59.319 E000.10.41.001 N049.28.05.205 E000.10.31.492
(LFP307)   N049.28.05.205 E000.10.31.492 N049.28.11.606 E000.10.22.810
(LFP307)   N049.28.11.606 E000.10.22.810 N049.28.18.475 E000.10.15.019
(LFP307)   N049.28.18.475 E000.10.15.019 N049.28.25.759 E000.10.08.179
(LFP307)   N049.28.25.759 E000.10.08.179 N049.28.33.402 E000.10.02.343
(LFP307)   N049.28.33.402 E000.10.02.343 N049.28.41.347 E000.09.57.555
(LFP307)   N049.28.41.347 E000.09.57.555 N049.28.49.532 E000.09.53.850
(LFP307)   N049.28.49.532 E000.09.53.850 N049.28.57.896 E000.09.51.258
(LFP307)   N049.28.57.896 E000.09.51.258 N049.29.06.375 E000.09.49.798
(LFP307)   N049.29.06.375 E000.09.49.798 N049.29.14.905 E000.09.49.481
(LFP307)   N049.29.14.905 E000.09.49.481 N049.29.23.420 E000.09.50.310
(LFP307)   N049.29.23.420 E000.09.50.310 N049.29.31.856 E000.09.52.277
(LFP307)   N049.29.31.856 E000.09.52.277 N049.29.40.148 E000.09.55.369
(LFP307)   N049.29.40.148 E000.09.55.369 N049.29.48.233 E000.09.59.562
(LFP307)   N049.29.48.233 E000.09.59.562 N049.29.56.051 E000.10.04.824
(LFP307)   N049.29.56.051 E000.10.04.824 N049.30.03.540 E000.10.11.114
(LFP307)   N049.30.03.540 E000.10.11.114 N049.30.10.645 E000.10.18.386
(LFP307)   N049.30.10.645 E000.10.18.386 N049.30.17.312 E000.10.26.583
(LFP307)   N049.30.17.312 E000.10.26.583 N049.30.23.488 E000.10.35.643
(LFP307)   N049.30.23.488 E000.10.35.643 N049.30.29.129 E000.10.45.497
(LFP307)   N049.30.29.129 E000.10.45.497 N049.30.34.190 E000.10.56.071
(LFP307)   N049.30.34.190 E000.10.56.071 N049.30.38.633 E000.11.07.283
(LFP307)   N049.30.38.633 E000.11.07.283 N049.30.42.424 E000.11.19.049
(LFP307)   N049.30.42.424 E000.11.19.049 N049.30.45.535 E000.11.31.278
(LFP307)   N049.30.45.535 E000.11.31.278 N049.30.47.941 E000.11.43.879
(LFP307)   N049.30.47.941 E000.11.43.879 N049.30.49.625 E000.11.56.754
(LFP307)   N049.30.49.625 E000.11.56.754 N049.30.50.574 E000.12.09.807
(LFP307)   N049.30.50.574 E000.12.09.807 N049.30.50.780 E000.12.22.936
(LFP307)   N049.30.50.780 E000.12.22.936 N049.30.50.000 E000.12.34.999
;(LFP324)
(LFP324)   N051.00.10.001 E002.12.07.438 N051.00.38.132 E002.12.03.527
(LFP324)   N051.00.38.132 E002.12.03.527 N051.00.51.929 E002.11.58.666
(LFP324)   N051.00.51.929 E002.11.58.666 N051.01.05.408 E002.11.51.912
(LFP324)   N051.01.05.408 E002.11.51.912 N051.01.18.465 E002.11.43.318
(LFP324)   N051.01.18.465 E002.11.43.318 N051.01.31.001 E002.11.32.948
(LFP324)   N051.01.31.001 E002.11.32.948 N051.01.42.920 E002.11.20.881
