IJALA N051.16.58.250 W006.25.53.430
ILLOC N051.55.17.200 E000.10.56.600
ILZIC N050.35.18.710 W003.38.44.200
IMVUR N051.10.28.900 W000.31.56.400
INBAS N056.42.00.000 W004.14.59.110
INBOB N055.36.24.860 E005.00.00.000
INDOX N051.18.39.550 W001.01.14.040
INFEC N051.32.37.730 W004.11.30.990
INFUS N051.57.25.850 W003.12.21.350
INGUR N051.42.41.670 W002.51.36.750
INKEK N050.38.53.000 W000.32.09.000
INKOB N053.52.16.190 W004.24.14.430
INLIM N051.54.22.980 E001.19.12.900
INNUF N059.07.05.410 W008.02.34.750
INPIP N054.52.35.540 W002.53.46.100
INPUT N055.18.18.300 E004.39.05.370
INREV N055.08.57.440 W003.05.39.460
INVON N055.27.02.190 W002.18.35.870
IPDOR N055.22.39.000 W003.15.45.000
IPKUS N051.31.52.430 E000.23.18.580
IPNOX N054.13.40.000 W002.42.22.000
IPRIL N051.40.28.810 W000.13.35.350
IPSAD N055.21.45.000 W002.41.14.000
IPSET N054.31.05.630 W005.27.08.920
IPSIR N054.04.54.000 W001.56.57.000
IRKUM N052.59.47.900 W005.22.39.450
IRKUN N050.55.16.000 E001.28.00.000
ITSUX N056.02.59.940 E003.30.00.000
ITVIP N051.17.13.750 E001.03.12.300
IVLOD N053.07.46.000 W003.09.19.000
IXURA N052.04.05.000 W001.25.40.000
IZLAW N051.03.25.450 W003.22.51.310
JACKO N051.44.08.650 E001.25.36.000
JETZI N051.30.27.090 W003.52.11.940
JOZMA N050.37.38.140 W003.56.35.420
JUMZI N052.19.43.580 W000.24.30.310
KAMJU N052.34.50.150 W002.31.50.540
KAPEX N050.40.29.700 W001.50.59.800
KARNO N052.53.39.550 W002.53.54.050
KATHY N050.31.13.590 W001.20.00.230
KEGUN N053.11.32.900 W003.09.01.350
KELLY N053.54.19.470 W004.21.50.520
KEMPY N052.07.38.510 E000.38.45.570
KENET N051.31.13.630 W001.27.18.000
KEPAD N052.48.35.410 W002.28.44.280
KESEG N060.00.58.000 W006.00.56.000
KESIX N056.57.00.000 W014.00.00.000
KIDLI N051.46.17.000 W001.21.40.870
KIPWI N052.07.57.350 W003.10.41.870
KISWO N052.37.27.160 W003.08.24.490
KITFE N051.44.07.290 W002.07.15.540
KLAKI N050.22.16.590 W003.07.54.140
KLONN N058.23.24.440 E002.49.44.120
KOBBI N051.41.13.770 W000.09.18.340
KOGAD N049.30.00.000 W015.00.00.000
KOKAL N058.57.34.820 W002.53.38.210
KOKIB N054.30.00.000 W014.00.00.000
KOLAG N053.02.36.620 E003.15.17.670
KOLID N053.34.25.700 W002.45.20.230
KONAN N051.07.50.750 E002.00.00.000
KOPUL N051.32.31.760 E001.08.13.840
KORXA N051.42.14.410 W004.47.18.680
KOTEM N050.00.00.000 W001.03.13.830
KRAGY N052.07.10.730 W004.56.55.160
KUBAX N052.56.33.930 E002.57.13.200
KUGUR N055.30.00.000 W010.00.00.000
KUKIS N051.41.56.230 W003.04.36.530
KUMIL N050.34.31.390 W001.36.38.810
KUNAV N050.30.54.000 E001.03.56.000
KUVOX N058.04.58.860 W007.36.23.540
KUXEM N053.15.11.070 W002.40.46.760
LAGAV N056.53.35.120 W004.12.10.370
LAKEY N054.14.20.000 W002.58.52.380
LAMIX N053.18.28.660 W000.40.55.520
LAMMA N055.51.30.000 W002.46.03.390
LAMRO N057.01.51.490 E003.33.09.090
LAMSO N052.43.58.430 E002.59.39.680
LANAK N055.42.00.870 W003.56.18.640
LANON N052.25.51.900 W004.22.20.940
LANPI N052.11.15.070 W005.23.29.750
LANVA N053.43.47.860 W004.26.37.510
LAPRA N052.07.07.180 E001.12.36.450
LARCK N050.54.41.830 E000.26.47.930
LARDI N053.36.16.090 E003.30.57.160
LARGA N054.51.49.540 E004.09.11.970
LARLA N049.22.41.130 W007.07.15.220
LASNO N048.35.54.000 W009.00.00.000
LATMU N053.15.25.000 E002.05.22.000
