;Airport Boundary
N055.57.08.386 W003.21.49.197
N055.57.08.021 W003.21.48.920
N055.57.07.651 W003.21.48.554
N055.57.07.373 W003.21.48.267
N055.57.07.019 W003.21.47.847
N055.57.06.630 W003.21.47.301
N055.57.06.351 W003.21.46.847
N055.57.06.122 W003.21.46.420
N055.57.05.944 W003.21.45.977
N055.57.05.905 W003.21.45.733
N055.57.05.887 W003.21.45.428
N055.57.05.904 W003.21.45.078
N055.57.05.968 W003.21.44.585
N055.57.06.148 W003.21.43.798
N055.57.06.487 W003.21.42.616
N055.57.06.835 W003.21.41.473
N055.57.10.941 W003.21.29.360
N055.57.12.877 W003.21.23.642
N055.57.14.061 W003.21.20.180
N055.57.14.608 W003.21.18.602
N055.57.15.004 W003.21.17.583
N055.57.15.333 W003.21.16.832
N055.57.15.572 W003.21.16.322
N055.57.15.778 W003.21.15.980
N055.57.15.910 W003.21.15.786
N055.57.16.073 W003.21.15.593
N055.57.16.215 W003.21.15.540
N055.57.16.341 W003.21.15.542
N055.57.16.518 W003.21.15.583
N055.57.16.826 W003.21.15.729
N055.57.17.103 W003.21.15.912
N055.57.17.394 W003.21.16.138
N055.57.17.618 W003.21.16.348
N055.57.17.837 W003.21.16.595
N055.57.18.024 W003.21.16.851
N055.57.18.184 W003.21.17.078
N055.57.18.340 W003.21.17.315
N055.57.18.532 W003.21.17.674
N055.57.18.651 W003.21.17.873
N055.57.18.692 W003.21.18.023
N055.57.18.217 W003.21.19.463
N055.57.18.589 W003.21.22.684
N055.57.09.429 W003.21.49.747
;W_Loop
REGIONNAME Edinburgh
smrSCOGrass N055.57.13.335 W003.21.19.692
N055.57.13.357 W003.21.17.998
N055.57.13.400 W003.21.17.216
N055.57.13.456 W003.21.16.468
N055.57.13.629 W003.21.15.748
N055.57.13.832 W003.21.15.085
N055.57.14.049 W003.21.14.536
N055.57.14.257 W003.21.14.109
N055.57.14.514 W003.21.13.682
N055.57.14.701 W003.21.13.542
N055.57.14.997 W003.21.13.596
N055.57.15.332 W003.21.13.759
;P_Loop
REGIONNAME Edinburgh
smrSCOGrass N055.57.07.861 W003.21.34.148
N055.57.07.565 W003.21.34.239
N055.57.07.334 W003.21.34.228
N055.57.06.980 W003.21.34.022
N055.57.06.588 W003.21.33.746
N055.57.06.215 W003.21.33.402
N055.57.05.958 W003.21.33.069
N055.57.04.627 W003.21.30.854
N055.57.03.932 W003.21.28.673
N055.56.59.983 W003.21.15.781
N055.56.59.970 W003.21.15.402
N055.56.59.983 W003.21.15.149
N055.57.00.067 W003.21.14.897
N055.57.00.176 W003.21.14.656
N055.57.00.324 W003.21.14.518
N055.57.02.077 W003.21.12.853
N055.57.02.225 W003.21.12.785
N055.57.02.354 W003.21.12.750
N055.57.02.463 W003.21.12.750
N055.57.02.592 W003.21.12.796
N055.57.02.714 W003.21.12.853
N055.57.02.907 W003.21.13.002
N055.57.03.074 W003.21.13.186
N055.57.03.183 W003.21.13.404
N055.57.05.941 W003.21.22.404
N055.57.07.028 W003.21.25.951
N055.57.07.858 W003.21.28.735
N055.57.08.025 W003.21.29.136
N055.57.08.179 W003.21.29.354
N055.57.08.816 W003.21.30.261
N055.57.08.989 W003.21.30.675
N055.57.09.092 W003.21.30.939
N055.57.09.150 W003.21.31.191
N055.57.09.150 W003.21.31.536
N055.57.09.112 W003.21.31.926
N055.57.09.015 W003.21.32.248
N055.57.08.797 W003.21.32.764
N055.57.08.424 W003.21.33.477
N055.57.08.099 W003.21.33.952
;River_Area
REGIONNAME Edinburgh
smrSCOGrass N055.57.00.815 W003.21.46.129
N055.57.00.961 W003.21.44.178
N055.57.01.096 W003.21.43.484
N055.57.02.343 W003.21.39.889
N055.57.02.459 W003.21.39.379
N055.57.02.442 W003.21.38.678
N055.57.02.344 W003.21.38.026
N055.57.02.343 W003.21.37.628
N055.57.02.879 W003.21.36.320
N055.57.02.986 W003.21.36.241
N055.57.03.438 W003.21.38.474
N055.57.03.813 W003.21.40.566
N055.57.03.994 W003.21.41.567
N055.57.04.154 W003.21.42.711
N055.57.04.282 W003.21.43.713
N055.57.04.350 W003.21.44.763
N055.57.04.334 W003.21.45.485
N055.57.04.219 W003.21.46.076
N055.57.03.957 W003.21.47.182
N055.57.03.768 W003.21.47.717
N055.57.03.584 W003.21.48.101
N055.57.03.319 W003.21.48.603
N055.57.03.072 W003.21.48.978
N055.57.02.820 W003.21.49.231
N055.57.02.626 W003.21.49.325
N055.57.02.448 W003.21.49.297
N055.57.02.138 W003.21.49.119
N055.57.01.692 W003.21.48.847
N055.57.01.424 W003.21.48.612
N055.57.01.261 W003.21.48.331
N055.57.00.752 W003.21.46.663
;G_Loop
REGIONNAME Edinburgh
smrSCOGrass N055.56.52.268 W003.20.56.306
N055.56.51.942 W003.20.57.032
N055.56.51.589 W003.20.57.625
N055.56.50.924 W003.20.58.436
N055.56.49.449 W003.20.59.964
N055.56.51.311 W003.20.54.463
N055.56.51.724 W003.20.54.269
